# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
1.600322284502908587e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.518616627436131239e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.798080095089972019e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.645875840447843075e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.962271825410425663e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.914490997791290283e-04 5.162127763469470665e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.269343473017215729e-03 1.343948588328203186e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.025960490456782281e-06
4.721311852335929871e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.725859362632036209e-03 6.623179160669678822e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.940848357975482941e-03 2.696448791539296508e-05 8.179784344974905252e-06 0.000000000000000000e+00 8.179784344974905252e-06 0.000000000000000000e+00
1.108513399958610535e-02 4.547051867120899260e-05 4.410607652971521020e-05 0.000000000000000000e+00 4.410607652971521020e-05 0.000000000000000000e+00
1.523750182241201401e-02 9.910386143019422889e-05 6.387998291756957769e-05 0.000000000000000000e+00 6.387998291756957769e-05 0.000000000000000000e+00
2.007532864809036255e-02 1.465051755076274276e-04 1.770753879100084305e-04 0.000000000000000000e+00 1.770753879100084305e-04 1.112773861677851528e-05
2.873796783387660980e-02 2.698964090086519718e-04 4.282422014512121677e-04 0.000000000000000000e+00 4.282422014512121677e-04 2.454163040965795517e-05
3.005546703934669495e-02 3.944741620216518641e-04 4.256303363945335150e-04 0.000000000000000000e+00 4.256303363945335150e-04 4.773190084961242974e-05
3.507265448570251465e-02 5.478620296344161034e-04 7.017150055617094040e-04 0.000000000000000000e+00 7.017150055617094040e-04 1.104401962948031723e-04
4.762855917215347290e-02 8.337605395354330540e-04 7.946096011437475681e-04 0.000000000000000000e+00 7.946096011437475681e-04 1.027368125505745411e-04
5.014581978321075439e-02 1.040013041347265244e-03 1.151744043454527855e-03 0.000000000000000000e+00 1.151744043454527855e-03 2.441385440761223435e-04
5.309359356760978699e-02 5.079113761894404888e-04 7.577002397738397121e-04 9.844896339927800000e-06 7.478554616682231426e-04 9.644858073443174362e-05
6.084284186363220215e-02 6.725002313032746315e-04 1.325174816884100437e-03 0.000000000000000000e+00 1.325174816884100437e-03 1.216121527249924839e-04
5.941804498434066772e-02 9.474071557633578777e-04 2.163388766348361969e-03 0.000000000000000000e+00 2.163388766348361969e-03 1.737471320666372776e-04
8.483164012432098389e-02 1.470978371798992157e-03 4.221088252961635590e-03 1.876366513897664845e-05 4.214941523969173431e-03 4.439226759131997824e-04
5.831842124462127686e-02 3.061218012589961290e-04 9.602870559319853783e-04 1.674467348493635654e-04 8.671968826092779636e-04 2.979639612021856010e-05
1.252515912055969238e-01 8.701878832653164864e-04 2.753056818619370461e-03 1.546353450976312160e-04 2.637250814586877823e-03 1.887770777102559805e-04
2.269093990325927734e-01 2.191344508901238441e-03 6.010077428072690964e-03 9.197736289934255183e-06 6.005446426570415497e-03 3.666283737402409315e-04
