Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,0.9016270192750335,6.1788363000124304,0.13929834282448653,2.902154469972365,2.4113307600315115,2.115525690732057
31.0,0.9408235520130295,5.977616828479627,0.14331540762147194,2.9640028803154044,2.4639046417320016,2.1523546046303466
32.0,0.9817162432109339,5.782037445957332,0.14744831593285945,3.0511831038527313,2.52472651980584,2.1955502578286947
33.0,1.0171412614273008,5.623248840958556,0.15098330502335075,3.1587069279759437,2.5811527842265076,2.2355890280118222
34.0,1.061333567335198,5.437602229737511,0.15533733901430788,3.3229018205143332,2.6729993843377136,2.296849491447399
35.0,1.0996152207180008,5.2868779251693665,0.15906146292367532,4.219688644046463,3.2068694770151427,2.571898967496238
36.0,1.1392690677058177,5.139682545684944,0.16287487057499644,3.555139352583079,2.8224820269554627,2.3800233078566477
37.0,1.1887329941227875,4.9675900747618,0.16757183175654297,4.5611800748387585,3.352681813211447,2.6975529509774994
38.0,1.222887837331828,4.855550003953163,0.170778150528112,4.673026743304063,3.4064512826386357,2.7340621746635057
39.0,1.2669540184102086,4.718453353567881,0.17487245906728888,4.80977719545118,3.4712092865382136,2.781020317950702
40.0,1.3125949903702092,4.584566562467239,0.1790649263133152,3.976012398978231,3.265497045886135,2.584804782715852
41.0,1.359865573512625,4.453814477855031,0.1833579055650784,4.1098855090948705,3.3705488744645162,2.634289450242239
42.0,1.3988933134958883,4.351420420518502,0.18686627501098288,4.227432211250188,3.4420530950352646,2.6706244867141717
43.0,1.449240943696033,4.226127012732526,0.19134628713838725,4.383391097706621,3.527988711024593,2.716853495740069
44.0,1.4908067298866303,4.128007732884895,0.19500750624598293,4.545481365423772,3.591747393855383,2.7541455209299595
45.0,1.5335511640597344,4.031730618957529,0.198738779105623,4.803732083704601,3.655894612717717,2.800571618277754
46.0,1.577506484958674,3.9372610847275835,0.20254144612552438,5.122693508713249,3.72725892833884,2.8436083516672475
47.0,1.6227057098538533,3.844565193320247,0.2064168733612696,5.355776560092535,3.797734647665592,2.887495664586814
48.0,1.669182644236522,3.753609645017388,0.21036645300654302,5.940148292336163,4.139720704912398,3.1662928259679277
49.0,1.7169718907593048,3.66436176529508,0.2143916038932579,6.059176409904002,4.235761055820879,3.209905788242223
50.0,1.7661088573246462,3.5767894930857462,0.21849377200125142,6.19297300950131,4.341376501482054,3.250856901549262
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,6.314979181926096,4.471825075702604,3.287118376886966
52.0,1.8685716501485172,3.4065465253286398,0.22693508266667403,6.472364833424095,4.570522421468776,3.3263942394578567
53.0,1.9084833274036512,3.344350865135782,0.23018398629474995,6.571136400639777,4.626532768460616,3.356977396676226
