Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
30,0.4217845366394565,10.919033198155365,0.0838994223251902,3087057.75,251059680.0,328155552.0,390476736.0,Au,1,
31,0.4528384166734556,10.367443572408746,0.087970526849785,8560303.0,373708736.0,445785344.0,514791488.0,Au,1,
32,0.4861761234395592,9.841380439471834,0.0922391761439484,9736863.0,473989792.0,569321344.0,667951872.0,Au,1,
33,0.5182708119307342,9.388771271940549,0.0962577742664274,4684294.0,552260288.0,639630080.0,715076800.0,Au,1,
34,0.5564188833159369,8.907999185598532,0.1009285508878038,7196868.5,649928192.0,781338880.0,895064384.0,Au,1,
35,0.5973702376945801,8.449476294368743,0.1058259705456833,13694602.0,1014193536.0,1154581632.0,1283725312.0,Au,1,
36,0.6413297674084788,8.012172948865935,0.1109610307829075,36946128.0,1491048448.0,1767777920.0,1904268800.0,Au,1,
37,0.6885170787669509,7.5951071498715965,0.116345262783017,35676664.0,1490660352.0,1827625984.0,2067008256.0,Au,1,
38,0.7339395587876801,7.23627606616736,0.1214140944240273,17988634.0,1333070848.0,1681551872.0,1967926656.0,Au,1,
39,0.787921774026992,6.855117262650799,0.1273055470164348,25939860.0,1327105408.0,1533317376.0,1760797184.0,Au,1,
40,0.8458612530579325,6.491597745667503,0.1334828742744916,47744136.0,1719625728.0,1962977920.0,2335719168.0,Au,1,
41,0.9080449696290196,6.144901203416368,0.1399599478746949,60712152.0,1973752064.0,2237439744.0,2491237632.0,Au,1,
42,0.9678924784861273,5.846613747881867,0.1460576040687806,0.0,2027127808.0,2476384768.0,2783002880.0,Au,1,
43,1.0390037466243902,5.529765807949103,0.1531448492046431,0.0,2065211520.0,2481274368.0,2792525568.0,Au,1,
44,1.115309430693374,5.227580973127337,0.1605759932010687,0.0,2174960384.0,2595095808.0,2982638592.0,Au,1,
45,1.197181863756146,4.939380663491011,0.1683677232791182,474266208.0,2799521024.0,3215456512.0,3586973952.0,Au,1,
