# SnapshotNumber: 127
# Time_Gyr: 13.820529799271933
# Redshift: 2.220446049250313e-16
# ExpansionFactor: 0.9999999999999998
# ParticleType: 0
# MaxRadius_ckpc: 1000.0
# NBins: 100
# HEALPix_NSIDE: 16
# Timestamp: 2026-01-19 18:38:02.453307-03:00
Radius_ckpc,Au1_Rho50_Msun/ckpc3,Au1_Rho16_Msun/ckpc3,Au1_Rho84_Msun/ckpc3,Au2_Rho50_Msun/ckpc3,Au2_Rho16_Msun/ckpc3,Au2_Rho84_Msun/ckpc3,Au3_Rho50_Msun/ckpc3,Au3_Rho16_Msun/ckpc3,Au3_Rho84_Msun/ckpc3,Au4_Rho50_Msun/ckpc3,Au4_Rho16_Msun/ckpc3,Au4_Rho84_Msun/ckpc3,Au5_Rho50_Msun/ckpc3,Au5_Rho16_Msun/ckpc3,Au5_Rho84_Msun/ckpc3,Au6_Rho50_Msun/ckpc3,Au6_Rho16_Msun/ckpc3,Au6_Rho84_Msun/ckpc3,Au7_Rho50_Msun/ckpc3,Au7_Rho16_Msun/ckpc3,Au7_Rho84_Msun/ckpc3,Au8_Rho50_Msun/ckpc3,Au8_Rho16_Msun/ckpc3,Au8_Rho84_Msun/ckpc3,Au9_Rho50_Msun/ckpc3,Au9_Rho16_Msun/ckpc3,Au9_Rho84_Msun/ckpc3,Au10_Rho50_Msun/ckpc3,Au10_Rho16_Msun/ckpc3,Au10_Rho84_Msun/ckpc3,Au11_Rho50_Msun/ckpc3,Au11_Rho16_Msun/ckpc3,Au11_Rho84_Msun/ckpc3,Au12_Rho50_Msun/ckpc3,Au12_Rho16_Msun/ckpc3,Au12_Rho84_Msun/ckpc3,Au13_Rho50_Msun/ckpc3,Au13_Rho16_Msun/ckpc3,Au13_Rho84_Msun/ckpc3,Au14_Rho50_Msun/ckpc3,Au14_Rho16_Msun/ckpc3,Au14_Rho84_Msun/ckpc3,Au15_Rho50_Msun/ckpc3,Au15_Rho16_Msun/ckpc3,Au15_Rho84_Msun/ckpc3,Au16_Rho50_Msun/ckpc3,Au16_Rho16_Msun/ckpc3,Au16_Rho84_Msun/ckpc3,Au17_Rho50_Msun/ckpc3,Au17_Rho16_Msun/ckpc3,Au17_Rho84_Msun/ckpc3,Au18_Rho50_Msun/ckpc3,Au18_Rho16_Msun/ckpc3,Au18_Rho84_Msun/ckpc3,Au19_Rho50_Msun/ckpc3,Au19_Rho16_Msun/ckpc3,Au19_Rho84_Msun/ckpc3,Au20_Rho50_Msun/ckpc3,Au20_Rho16_Msun/ckpc3,Au20_Rho84_Msun/ckpc3,Au21_Rho50_Msun/ckpc3,Au21_Rho16_Msun/ckpc3,Au21_Rho84_Msun/ckpc3,Au22_Rho50_Msun/ckpc3,Au22_Rho16_Msun/ckpc3,Au22_Rho84_Msun/ckpc3,Au23_Rho50_Msun/ckpc3,Au23_Rho16_Msun/ckpc3,Au23_Rho84_Msun/ckpc3,Au24_Rho50_Msun/ckpc3,Au24_Rho16_Msun/ckpc3,Au24_Rho84_Msun/ckpc3,Au25_Rho50_Msun/ckpc3,Au25_Rho16_Msun/ckpc3,Au25_Rho84_Msun/ckpc3,Au26_Rho50_Msun/ckpc3,Au26_Rho16_Msun/ckpc3,Au26_Rho84_Msun/ckpc3,Au27_Rho50_Msun/ckpc3,Au27_Rho16_Msun/ckpc3,Au27_Rho84_Msun/ckpc3,Au28_Rho50_Msun/ckpc3,Au28_Rho16_Msun/ckpc3,Au28_Rho84_Msun/ckpc3,Au29_Rho50_Msun/ckpc3,Au29_Rho16_Msun/ckpc3,Au29_Rho84_Msun/ckpc3,Au30_Rho50_Msun/ckpc3,Au30_Rho16_Msun/ckpc3,Au30_Rho84_Msun/ckpc3
5.0,698507.057397306,233616.1429335425,3887799.050091236,262395.73964436597,94563.07536896554,1264102.7683910995,267472.46656559035,74491.0155212493,1985816.706641239,806685.9811071192,208680.28447000633,7564186.567156041,548531.2750623117,118944.59808244508,4383726.36776551,130647.80742054558,45433.44352327262,1004521.2525926859,568869.6495893176,134823.81260218777,5374828.666442632,231387.09188454726,57309.76472531212,1297681.725446357,237446.78519909806,78594.37744669493,2239167.9435466756,657844.1510036242,243469.75558591087,5938185.207036039,1342567.3564586616,530045.7552882439,3213942.921537778,388817.22702153213,146539.4079127203,5943440.797629915,1521125.7113615524,577801.3694823907,3099939.934094211,277548.5711056964,102619.19107546244,4407119.1216274835,320897.93909087573,95835.75260018816,3969462.209427581,256548.37302953473,58525.10011121494,1876847.7538876676,842309.8382841845,140235.3494736449,4038336.569415898,151152.0761475538,58472.569736275516,829764.798100516,259581.05009831808,88236.80679391969,2615628.863598989,402614.87578750734,127978.66932257533,3154205.7147724265,318043.6352428725,85761.37655915844,3956632.5164774293,332722.38996535586,75962.12912177258,3248385.6165944864,365391.91632254387,103017.54525373885,2159641.7169384877,165756.4895961189,53345.33291848048,845303.5565147296,246078.91004475954,65577.0112540186,2942272.5683031688,1580630.95364253,615696.9722315131,3450298.7304653074,206434.51634601416,61297.906900804985,2559838.5054824674,716991.2259077097,307709.0373557464,4944976.139796023,1553307.9256548258,423103.1534916366,3780884.238122791,1580616.6526159635,791181.7871740378,3327053.9649551846
15.0,133201.01867316302,33767.407392256195,769826.6907234986,21131.80811872549,6233.2493517428165,253401.228684456,38980.40764316873,15058.11570999603,252249.43133865268,212187.3891242501,45592.89011461462,1061599.6544065692,101037.61376579266,27445.28709712798,1053955.3167229015,28085.996594945456,9128.857154239226,256347.98611545653,180841.7194042241,45237.314995230285,1189752.9827428318,36646.24961478571,6500.645235132488,496718.2555928026,51353.21514207898,16807.286383305218,474870.4107238271,161393.881719034,50633.85386151851,450811.8366865268,117183.53496617837,46099.07049723409,352948.49331418454,206610.19175409034,45037.07508575234,808205.7323418409,94344.4419427225,39058.96663948936,226805.44404310832,177986.5954080627,40189.64783856605,1814147.8092108595,158786.68147189252,26656.76129817941,866186.624272244,23079.482377469823,7083.116061348764,360290.45281613595,172010.89443223353,34602.93085649128,641801.533111487,19446.262051253507,7572.911160645301,381267.1378175612,42030.66633115124,14696.802238221007,529735.4410844771,74335.92740348462,22797.770914385692,889698.947288642,82775.08170076829,23472.23757943178,906654.9945349289,37105.66681918887,12371.512221407911,131899.40628751557,40129.24040711873,13281.016650959202,456477.71692258323,16666.12431578543,7062.112901899312,113233.13332420813,69386.91768586173,16023.76162191611,577860.3358103915,90877.75916626118,56555.888925539206,248005.41783471237,36126.86828456644,16584.46807332655,320238.32100360456,94472.71573389639,44894.34049463825,248267.45454918034,280095.2048028257,71587.90329762471,784533.7574842493,90469.12566677388,25383.57239927551,385497.07869228226
25.0,51552.346839174366,11912.17652692844,260552.65798331756,9507.452673584026,3625.170553519648,105520.79807778608,20551.54498246815,7521.170995311475,199300.00173313922,51336.622801286394,17220.942766845,173638.49827732894,44765.89455764863,13347.194847838195,189915.62255309548,21443.318206894633,5341.079587965074,178679.22376339565,61751.35987303803,16661.686985983666,243755.5090103471,24506.39762251456,3437.9444472553946,186870.95059477768,31341.013339412464,11019.462734985473,155387.5910900031,49772.35152242427,22649.795653222456,137042.1821015376,35955.15705516001,15259.625728189692,108990.24835240481,52690.54981440009,20788.27271226861,141420.34507970227,30563.370895322172,17477.493051141115,67204.02613985712,121504.76404669658,24447.587642202776,436511.58872231765,72401.59827953862,12329.433005045656,324546.4531753205,17103.468084193737,4116.837699790779,159511.75587057605,38466.873756504334,12679.668909086435,114771.02436481358,12312.112744206506,4874.395114403898,159627.39424158743,26096.60398675164,9148.315912413831,219659.2635270338,40084.767853856014,11846.5855247688,347531.00285809493,57794.34446809337,12672.998425875097,274315.3445027655,9702.360250104692,4246.292049392563,27102.77712486849,24970.51032374765,6999.719042146492,249748.14170408703,9829.62352466201,4260.180498097457,134802.72124170157,37224.47448599653,5743.212247997477,278464.41391316545,42623.66205432052,26033.08108480023,93453.1471975047,28338.72414274245,10603.670326875454,246005.11028230016,36368.2909873497,21491.732006729864,86631.89912876928,58284.77462864049,23130.296057125066,134519.08421479986,36437.66471718414,13219.84000859408,139461.1708308272
35.0,18139.36374812162,4240.231210879638,70189.08061478223,7259.518348902856,2494.2146034244383,84189.02428942188,16790.284756672576,4526.6987112305305,163379.80352099016,18407.88583868072,7800.2538648148875,64464.8573721738,11810.334433235716,5231.101349486275,39493.791773265926,11753.422070884997,3326.9726096558215,85893.57147526974,17550.40959076458,6525.605373846648,73060.8258555417,8778.554585388849,1908.0613239238044,109918.37798697235,10466.434980254653,5028.263313996849,32021.012140664647,20485.29577160958,11615.323955125079,53442.46869576707,14216.051660429872,6924.492471008061,43020.4609001117,17329.49750561861,7939.848410064642,50328.43453132016,13911.52614085242,8001.194660511692,30465.988381707517,36746.46918011774,12563.36918405799,112050.12488341886,25671.666993579347,6247.605632235341,94437.66043278278,12153.995757582848,2778.357666650661,136515.022049085,9789.784212481802,5605.8792250313945,24128.979430958654,6113.108466402815,2860.8079162342274,27012.283726683643,17347.197255884406,5374.866160305216,91934.29298653164,24891.087875908088,7032.976634421601,202991.9020478968,20939.91765109633,7055.522133429285,87728.84173846825,4579.924043713545,2340.6132407904142,11542.574989763845,12886.311388247614,4503.759933992269,79364.97683504365,7294.3417945701585,3095.706266613503,118563.96399598461,5758.657572506078,2052.0117173211233,67316.29099274805,20029.594253812655,12476.928100704257,44434.6635505478,10007.558966565786,5456.8312106454505,34879.60767173644,17056.11177764614,10931.393464343522,41379.208095543996,11796.580349083413,5087.615931470654,29107.43595122032,16449.586088686643,7566.371377897586,48007.39556048878
45.0,6415.919022010047,2406.441667820749,24416.58894032784,4349.522124863794,1826.0462418020772,47669.193463309995,8295.194290337076,2791.9421522493076,50856.32721709061,8696.597250304843,4254.8717062831565,27091.64350944653,4951.878102680258,2687.1740879977215,14764.632063904297,4558.902130821269,1743.001197953373,17558.915836427248,7763.767481877571,3484.011688800742,27085.405881364804,4352.770889489693,1376.9968667683904,54287.29461598795,5075.574994273633,2794.9488769599416,9760.211680033777,10771.576867367141,6579.638785187549,25306.874792815608,8119.223735196201,4300.589229814241,20955.517790337686,8172.301793917062,4482.208224568432,22633.958885412576,7841.883984100663,5010.754193719818,16038.942258656944,13531.582945737702,6844.854719281317,34877.21134036528,5711.560401129024,2528.9159689210223,21243.070076429245,6399.288593260098,1877.6544778019622,79386.49049011867,5200.537840811725,3071.150880401261,11397.579643707819,3637.8920120700095,1909.0460952484216,8309.483234068988,8008.6800760288825,3380.921906222951,28879.592235767937,9548.184609062799,4201.5161932196415,52277.81559417862,7957.369357287233,3888.7646447047814,26635.80264587679,3179.440489788633,1668.7521646045143,6984.190961651774,5398.246414699863,2899.9261590986075,16090.301038225583,4473.614639118331,2212.9115379983396,48852.89959141554,2524.961696001552,1179.8124421854388,17156.05086850712,13190.099348419673,8757.315342420696,26277.662740901975,5209.266899784296,3237.0856946576387,13120.24646807029,11340.860594118563,7555.237745288071,25478.409324608663,3973.6616234029593,1994.7518048137015,9311.742547812699,10456.720966976525,5471.32808692997,29502.787691739068
55.0,3046.45512969637,1496.7407207851293,11537.029404675517,2721.582267316847,1447.4364558586994,11038.043175834553,4060.9537200974773,1875.1734612628427,12589.774068780203,4869.2416519112485,2729.4354107071035,14424.513452666906,3172.8984781208037,1806.868701934898,9088.965371971819,2145.907518913992,1061.8356179600582,5290.5788270391,4194.502878504643,2151.914725768615,13742.838278416235,2780.491898940346,1163.9318514664465,23474.46539044898,3214.5575468184197,1940.0593172055987,5505.419796525496,7128.556784974521,4649.646507823974,14639.063545962064,5686.9022917798275,3014.7895379730135,11674.418226524649,4865.464411906249,2774.7148624541305,13369.701808686963,5410.252075934317,3293.393159607054,10285.599438108024,7502.2977843623075,4573.542843431381,14796.559353269673,2725.887384042107,1572.2444442185604,7442.253016310582,2976.1553489552502,1271.9460917431147,25264.14630548438,3500.0971713741874,2099.4155978066196,7572.544797579368,2558.9594674376804,1539.3929129696446,5161.368830383451,3864.068421843858,2200.428832784891,11030.095085152538,4848.4157064189585,2722.884984455789,17042.498543570782,4280.730885950401,2237.176970665874,15147.651852344577,2293.632912420597,1240.865526446776,4781.234830879993,3307.6004779816894,2156.446114230779,6100.4561765170065,2936.4978547968876,1697.683733847319,9134.842251219192,1775.990729477926,908.8244306475518,6090.807113917758,9881.569124361233,6555.499287631857,17812.87804130227,3641.625176334119,2316.7591814612565,8298.5350210163,8607.221833238862,5731.236733383772,18076.4811392716,2550.714289953772,1422.226761165196,4784.677896713913,7153.4460715950045,3740.5671298463076,19484.578428767425
65.0,2114.563993861703,1055.3339693008704,6644.608332832928,1934.060994216021,1173.9996606743155,3671.4878826890954,2167.420839250493,1202.0429834113493,4804.853492026586,3483.330571128956,2051.059423520422,9238.461602769577,2312.0344844457723,1365.1054798180814,5730.735474030898,1584.7393638440685,857.5544352073604,3092.8869423205215,2792.5325913883635,1589.1114414631827,8992.221399421023,1743.4197996316148,937.9199570151894,8092.839569013272,2452.202338069133,1650.9622480796957,3701.6927306650105,5144.250042495323,3422.8195365379306,9145.697920318868,3944.899415734461,2187.245251145679,7663.541172757823,3383.5653552492963,2003.1695501599172,9881.627188262135,4113.499690891564,2463.718085960585,8382.454904319125,5526.858265025025,3534.6087093618444,10007.153012494464,1934.4372515397527,1237.9017247718728,4032.790542383156,1890.8275840460778,958.2586413905527,7666.537429832037,2416.742476391143,1521.0516563409576,4772.257184983673,1967.6144854537706,1267.3271732964467,3440.189278135738,2798.355105800929,1684.209745567607,6716.799932264524,3359.9450573580607,2036.4317731143115,8634.284836997595,2823.3952562692007,1566.0020378568727,10265.488944999624,1576.847524380553,886.9449251857696,3104.1357261666826,2724.6073169059287,1845.0359489012267,4453.558880133656,2227.943589249411,1444.8749053588137,4072.9862728860435,1476.9957783393925,804.2701795447263,2960.4510918840465,7891.50597500969,5406.927865413325,13449.97978048131,2891.7048185074564,1923.1205861804544,6017.984686734139,6453.837388121059,4450.66173122357,12009.409742536503,1971.5333363133172,1193.1068485130352,3331.8037380852575,4963.974240917064,2579.0930253668994,14904.820585602634
75.0,1593.9076287690011,825.9592420102215,4555.002461552215,1584.5111209288557,1055.476867062536,2483.118064474474,1715.7027929072253,1019.4868994827854,2998.845911247734,2540.9719442072947,1581.9406654579843,6515.096844887767,1833.5648899559155,1124.1924914709798,4175.7392695562685,1303.862628325564,773.7557188121982,2332.707923445242,2114.580143353747,1248.222473081744,6045.540050070395,1353.8010873039166,781.5050889390147,3710.465296964389,2036.2583044838007,1414.8807316283417,2934.0982141728045,3833.8299857495977,2663.604440394284,6127.1815318191075,2989.595999236355,1667.9950857742654,5525.849185093132,2595.0938765636333,1586.5963482748507,6193.963637256802,3205.5599977730008,1974.0534415676211,6419.209340520921,4230.180897445045,2883.896446845733,6631.845339809726,1548.1100612165228,1049.1635692023403,2859.989170558823,1381.0064795298526,759.654295824312,3658.943575913104,1814.9917002131174,1170.9060429212225,3555.6574980502764,1590.6138334063894,1056.0248181316497,2692.8951928653014,2320.6454653602195,1410.7954082938597,5443.024803837024,2514.8018087406554,1590.0731999236957,5650.29521678606,2122.0239839058245,1240.495774454144,6649.899024312312,1166.0970623645287,672.0985742001185,2189.5042543512145,2234.6394826925216,1602.739084953532,3381.1383995902493,1819.723450127367,1197.621921704809,2879.320866918909,1354.8221048754053,799.2770734866857,2503.510338938118,6327.115025599263,4565.432967678677,9899.697542320808,2498.456848472838,1647.2483558865738,4483.7483289858865,4900.7720569792855,3393.4644589444265,9296.09970555564,1588.3978089495295,1035.0883951400933,2499.8790477021944,3634.2558348251923,2051.666605553156,10637.81733129446
85.0,1262.0193354095964,708.5318902942449,3472.8295310560848,1374.6866539660123,954.7420424212072,2076.111060371474,1448.5254940647185,941.8008089328863,2517.217834810919,1984.4455018745034,1235.6080320845504,4351.374215191424,1579.0555243865115,965.7634775789251,3418.4171075196505,1150.634333363702,681.4289609015134,2094.4583412907386,1729.875284009553,1041.4900789543035,4676.484421915273,1075.0312585205234,711.4131424332363,1875.0071706719111,1704.1464161923157,1227.671807254883,2391.577672394186,2997.329480554363,2100.0937196998107,4810.169076534014,2330.0686411337124,1283.249993428375,4476.3540514063125,1999.3066012866054,1292.505979276709,4149.558898847694,2578.4022794076263,1615.5536857981597,5328.160116478293,3478.6129723208533,2542.6509254440875,4920.616531633548,1381.9190711700053,936.4887624892201,2397.235263611269,1126.2262256767888,636.5687397531358,2174.5183793079864,1461.593948474857,977.2067406356408,2677.448645368741,1412.9366826829055,961.4727851727873,2198.546934403964,1936.9794602247237,1221.4146349798107,3825.181148695423,1906.4940921788393,1260.2401182148349,4180.822855808915,1589.1872664553764,990.5986558606796,3996.894722073162,1001.3231689748812,554.3811937948647,1815.7738834156753,1895.6973494174322,1373.3238508791749,2812.3471298230115,1512.7380623263562,1047.359617029134,2274.5854909680306,1220.957113658427,781.2404478373135,2098.405140731737,5186.02910286883,3668.539552770408,7554.677733040826,2121.090391260349,1455.8913845594634,3645.6888003462605,3832.806926509179,2651.4327241119277,7176.023016080178,1235.075427416491,814.7676694123435,1931.0291905483084,2614.8128231627143,1507.4572312570547,6113.082816732908
95.0,1087.9693873681435,644.5617304121613,2799.6877434705525,1229.205344395049,862.2841483243334,1818.7933887945642,1260.2216006538247,859.7744358825462,1886.5221047889925,1633.8280970317282,1008.316803145998,3510.3244873753047,1332.2388435862863,905.3327110991253,2768.557477490334,1026.8824032090365,628.2528889013367,1708.7123835604816,1528.3182784784062,963.6767589716842,3690.5595985720424,965.3802677855313,630.4138675154762,1580.381088566315,1450.0706797962794,1044.6642815777523,2029.7144450240676,2463.440370252476,1660.5542076938436,4074.7704181188874,1817.1920127733404,969.6462299119192,3606.9174149275023,1625.0881015699738,1070.1774097197385,3291.5731083013875,2221.911555106924,1378.7302408279452,4517.290429407686,2815.3575598668795,2052.224536874259,3853.181173588675,1278.6542237667431,900.6185953393398,2140.2902692954376,950.7906903708023,577.157928423598,1608.3657714294748,1260.1140283563477,844.1348141505993,2258.134110979762,1242.5256194411995,861.6813070802745,1895.0810574272036,1654.5869287928776,1081.6915526568043,3017.7984720057916,1592.697254019382,1095.5669075234894,3065.0208433054645,1349.5840308602837,857.9870748010934,3170.743100232422,842.9445994087147,484.4287626937954,1547.2119080846048,1675.360560201872,1247.7507222192723,2447.0554619345057,1314.778134489684,934.8074664833861,1890.3624019811537,1087.071217882802,722.4368566314974,1790.0361609311344,4125.39929962976,2970.7854133941255,5967.684888288266,1888.9763092487265,1311.5995219414126,3188.757116574594,3080.6916508553513,2151.7805941021093,5436.695552261701,1047.2395725276806,684.6025632925558,1564.9873168929769,1980.3666717722836,1082.2599267895741,4325.223366790371
