Time_Gyr,SnapshotNumber,VirialRadius_Au1_ckpc,VirialRadius_Au2_ckpc,VirialRadius_Au3_ckpc,VirialRadius_Au4_ckpc,VirialRadius_Au5_ckpc,VirialRadius_Au6_ckpc,VirialRadius_Au7_ckpc,VirialRadius_Au8_ckpc,VirialRadius_Au9_ckpc,VirialRadius_Au10_ckpc,VirialRadius_Au11_ckpc,VirialRadius_Au12_ckpc,VirialRadius_Au13_ckpc,VirialRadius_Au14_ckpc,VirialRadius_Au15_ckpc,VirialRadius_Au16_ckpc,VirialRadius_Au17_ckpc,VirialRadius_Au18_ckpc,VirialRadius_Au19_ckpc,VirialRadius_Au20_ckpc,VirialRadius_Au21_ckpc,VirialRadius_Au22_ckpc,VirialRadius_Au23_ckpc,VirialRadius_Au24_ckpc,VirialRadius_Au25_ckpc,VirialRadius_Au26_ckpc,VirialRadius_Au27_ckpc,VirialRadius_Au28_ckpc,VirialRadius_Au29_ckpc,VirialRadius_Au30_ckpc
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1495,15,6.9132,9.9755,9.4277,8.4505,5.7855,3.337,4.6573,9.1177,0.0,0.0,5.047,6.3189,6.7858,8.4686,5.9923,6.1979,11.3552,8.0398,0.0,4.4869,0.0,5.7302,3.7906,11.4489,8.3404,10.8105,4.7483,0.0,11.3048,5.9326
0.1593,16,8.8693,9.12,11.0912,9.2426,6.038,4.7934,5.4299,9.3562,5.7278,4.5151,5.7367,7.228,8.3639,8.1661,7.809,7.9348,11.3793,8.6174,4.5563,5.9271,9.0297,6.4563,6.5797,11.5679,9.8847,11.0023,4.9031,5.8752,13.7559,7.2383
