SnapNo,Mgas,Mstar,SFR,Mcold
35,2567404000.0,59570784.0,0.44529247,577529718.9921008
36,2302880500.0,79503340.0,0.5543831,701068599.2557857
37,2371641600.0,99326664.0,0.53264815,1024155378.1655904
38,2639242800.0,117285960.0,0.49507973,1076578521.6580818
39,3601138400.0,141564030.0,0.565012,1297515859.6320553
40,3509174300.0,163719100.0,0.5754738,1874467470.797337
41,4128543000.0,191374670.0,0.67861146,2549674081.309331
42,4659429400.0,236847000.0,1.096454,2544894484.332605
43,4996851700.0,290818500.0,1.0517396,2955768582.035555
44,5399411000.0,349431170.0,1.1767632,3758841022.254797
45,5670833000.0,428951070.0,1.2996162,4476049097.813391
46,5972296700.0,503467840.0,1.2048053,4599714648.952512
47,6988368400.0,573210500.0,1.1433704,5336651245.63558
48,10392872000.0,726250800.0,2.7615087000000003,6012353534.360403
49,10595710000.0,907505700.0,1.9572474,7355274794.901137
50,11537724000.0,1066592200.0,1.7003281000000003,11445115728.955853
51,21102303000.0,2103178100.0,10.066107,7855628054.462472
52,19310647000.0,3029789700.0,7.3913506999999985,7557452517.386905
53,21014702000.0,3420900900.0,3.1480722,11018971572.774551
54,24370287000.0,3666317000.0,3.73606,12042182587.09816
55,28247441000.0,4227626500.0,5.2048674,11863229545.920073
56,31251310000.0,4872363500.0,6.768795,9432709727.716938
57,34130762000.0,5380823600.0,4.201668700000001,11998309342.512527
58,43398226000.0,5859963000.0,5.31672,18420196530.38577
59,56672610000.0,6957387300.0,8.16766,20376269539.138588
60,58414612000.0,9040392000.0,20.030306,14976241916.109924
61,65253536000.0,11784514000.0,14.187034,13798188247.567968
62,69954140000.0,16087620000.0,17.593266,10742749386.030954
63,68292768000.0,17128897000.0,10.394131,12688532889.857777
64,75329150000.0,17702386000.0,5.9432445,17602135546.978676
65,79805440000.0,18224497000.0,9.883921,15794031729.1981
66,84221050000.0,19216521000.0,11.636695,14848267134.042397
67,91401880000.0,20149529000.0,12.657021,14508130631.383448
68,100354530000.0,21808253000.0,16.187078,14766469663.8482
69,104916570000.0,23209458000.0,16.114527,42360917151.94273
70,94593884000.0,24644372000.0,13.96308,43756003922.16242
71,114886960000.0,26228425000.0,11.491738,52635775359.02555
72,136250430000.0,27541402000.0,12.183933,55181515269.65278
73,140224050000.0,28099074000.0,10.361998,60852140936.57681
74,169386000000.0,29861601000.0,14.063014,70166369484.65771
75,171464930000.0,31578841000.0,14.711297,63352366493.935074
76,186988760000.0,34145966000.0,10.574988,73867287910.49522
77,202375170000.0,37369500000.0,15.848471,80255588717.4395
78,210709040000.0,39899210000.0,20.517597,81940140998.87413
79,209608790000.0,42269620000.0,20.247513,72763716276.49844
80,210449780000.0,44858020000.0,22.957153,71692445605.68512
81,212712960000.0,49362678000.0,21.079193,65374423693.34277
82,212157710000.0,53731086000.0,17.736313,88840517018.7112
83,213977560000.0,58585354000.0,23.974447,73904047336.3248
84,208940140000.0,61480390000.0,25.387085,66652283886.862976
85,206928300000.0,63451296000.0,24.229437,83645907955.64862
86,203592840000.0,66074790000.0,27.236214,82406469426.79604
87,199360270000.0,68951890000.0,26.876644,83053143725.26137
88,193790640000.0,71094520000.0,28.530298,82348798191.17761
89,187924990000.0,74401610000.0,27.73724600000001,78841389722.2747
90,183286150000.0,76950290000.0,28.572393,74045915195.12137
91,179382350000.0,79844400000.0,26.297863,72507963927.1408
92,177471950000.0,82006030000.0,26.392357,69348660670.49599
93,172901120000.0,85249940000.0,27.188196,58844381808.53027
94,169608720000.0,87269020000.0,23.158203,66769380160.94167
95,166781750000.0,89155490000.0,23.133387,63740985256.17816
96,163146560000.0,91063380000.0,22.568663,65422825834.423615
97,159088440000.0,93700490000.0,22.319643,60908058369.353386
98,156947430000.0,95419556000.0,20.450954,61788643480.57983
99,154204720000.0,96942465000.0,18.271116,63266352677.45093
100,151518870000.0,98438280000.0,19.035519,59418016205.51015
101,148741670000.0,100039520000.0,18.166899,57911305871.28452
102,147124700000.0,101350375000.0,15.300951,62056144195.962326
103,146379330000.0,102487680000.0,14.673597,62086973091.70024
104,145489670000.0,103624400000.0,14.553189,62745487320.194214
105,144508110000.0,104822850000.0,14.828319,59359696978.48028
106,144120350000.0,106020725000.0,14.10131,60269469876.76128
107,142849750000.0,107119300000.0,12.789168,64805599928.25439
108,142200900000.0,108114354000.0,11.850976,66189399674.160614
109,142033300000.0,109021000000.0,12.014659,63822822345.41246
110,141366440000.0,109697630000.0,12.152951,63379321527.97411
111,140941030000.0,110601070000.0,10.575943,66338627870.184975
112,139606850000.0,111372210000.0,9.797796,66672371620.61772
113,138731420000.0,112139490000.0,9.71379,64476983762.03393
114,138011800000.0,112790750000.0,8.935497999999997,66003524746.46519
115,138008480000.0,113243040000.0,8.452156,68949068314.5678
116,138302240000.0,113906260000.0,8.474614,75565708616.81172
117,138297870000.0,114529920000.0,7.9786477,78557717395.14574
118,138519540000.0,114932970000.0,7.816852000000001,77507126102.41933
119,140032080000.0,115504005000.0,7.095326400000001,79901165588.91983
120,140540840000.0,116032045000.0,6.6469616999999985,80114002594.03923
121,144954700000.0,116692490000.0,6.8397326000000005,78833254612.70714
122,147270860000.0,116903150000.0,6.3188834,78508258746.32887
123,153481640000.0,117927100000.0,8.208902,76081847862.79585
124,156118930000.0,118266840000.0,7.9953509999999985,76055695774.6362
125,158269540000.0,118779560000.0,8.027676,74924056251.78506
126,160457750000.0,119304750000.0,7.7685933,72772562767.94162
127,163169470000.0,120045490000.0,8.385743,77757257830.62123
