SnapNo,Mgas,Mstar,SFR
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,78995620000.0,4454657000.0,11.057204
65,90485720000.0,6258806300.0,10.142553
66,92359350000.0,8730181000.0,22.510809
67,87440370000.0,10252460000.0,13.454418
68,91661660000.0,11390696000.0,8.788323
69,94340790000.0,12269944000.0,7.9471884
70,92730920000.0,13887892000.0,7.002157
71,91081605000.0,15283815000.0,10.089743
72,94182820000.0,16728637000.0,11.817793
73,97939030000.0,18033123000.0,10.060157
74,104648350000.0,19540933000.0,14.263601
75,100023980000.0,20804055000.0,12.378628
76,100952670000.0,21795334000.0,11.235434
77,105601380000.0,22620115000.0,8.288033
78,114038096000.0,23507405000.0,9.119339
79,119751920000.0,24463096000.0,10.887068
80,130102034000.0,25501950000.0,10.565065
81,132016200000.0,27301755000.0,14.189994
82,134928910000.0,29363227000.0,18.610563
83,140009650000.0,31207303000.0,16.17635
84,144995350000.0,32611133000.0,13.684796
85,147156350000.0,33524427000.0,11.676371
86,148767770000.0,34736610000.0,11.446887
87,152470780000.0,35793887000.0,10.3666
88,153185860000.0,36557280000.0,10.501471
89,163570350000.0,38861330000.0,9.189195
90,167887650000.0,38892126000.0,7.859594
91,175306500000.0,39679574000.0,10.548813
92,176024780000.0,40790850000.0,11.412968
93,182856760000.0,42988130000.0,14.894723
94,186036100000.0,44645392000.0,13.697053
95,184278190000.0,46218727000.0,14.041672
96,185275960000.0,47421104000.0,12.10776
97,185000760000.0,48527820000.0,9.253412
98,184808110000.0,49419784000.0,10.898728
99,181366210000.0,50394776000.0,11.694103
100,184131980000.0,51479925000.0,12.340539
101,183326230000.0,52345510000.0,10.736661
102,185728650000.0,53313974000.0,9.736095
103,192571400000.0,54882787000.0,10.598241
104,201193030000.0,60391928000.0,17.39127
105,196889400000.0,60799020000.0,13.456355
106,194514910000.0,61468488000.0,10.919917
107,202024060000.0,72482590000.0,16.088913
108,204651890000.0,79330610000.0,18.389559
109,204673880000.0,80460990000.0,12.443858
110,204639940000.0,81095100000.0,12.183912
111,205110690000.0,82020400000.0,10.861152
112,203803920000.0,82911860000.0,10.344384
113,203288350000.0,83759420000.0,10.82568
114,203011620000.0,85189700000.0,13.600218
115,200700070000.0,86189570000.0,13.103032
116,202651340000.0,87258600000.0,11.114088
117,206521970000.0,88201314000.0,10.092335
118,211344340000.0,89017440000.0,12.318163
119,213130170000.0,90294780000.0,12.116481
120,215564600000.0,91582640000.0,12.530014
121,214771250000.0,92717710000.0,11.630741
122,214975800000.0,93908476000.0,10.851998
123,217021990000.0,94763750000.0,10.714606
124,216674900000.0,95383970000.0,9.300748
125,217284250000.0,96580624000.0,9.311521
126,218227060000.0,97360920000.0,10.616669
127,213177340000.0,98288100000.0,10.937069
