SnapNo,Mgas,Mstar,SFR
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,50550960000.0,2455023900.0,6.9814205
63,64757240000.0,3268379400.0,5.934284
64,69826960000.0,4314833400.0,6.8436112
65,67435295000.0,5103392000.0,7.7507915
66,61153845000.0,5504428000.0,4.315324
67,68469000000.0,5814136300.0,2.7488835
68,75546165000.0,6183263000.0,2.1312854
69,80304980000.0,6703376000.0,2.1190677
70,85230460000.0,8769029000.0,7.6577377
71,87021280000.0,9793832000.0,10.074574
72,92566266000.0,11086489000.0,12.012334
73,98998590000.0,12125536000.0,11.660987
74,103527700000.0,13281902000.0,9.3540325
75,111242790000.0,18896900000.0,27.494545
76,106942160000.0,18200664000.0,17.883575
77,108509630000.0,20955408000.0,13.881577
78,111546760000.0,23912489000.0,16.941612
79,114392785000.0,25127688000.0,11.645983
80,116777360000.0,25934911000.0,9.087611
81,120377380000.0,26444920000.0,6.715146
82,125710310000.0,26964988000.0,7.6536164
83,136137460000.0,27883166000.0,10.207242
84,140646430000.0,29591736000.0,17.120705
85,140976390000.0,30956677000.0,17.922533
86,146544160000.0,33059539000.0,22.337559
87,151734810000.0,35294642000.0,16.955614
88,157351130000.0,36233417000.0,9.915339
89,165652090000.0,37061990000.0,9.189948
90,164093690000.0,37876400000.0,11.619411
91,161427500000.0,39347745000.0,13.063594
92,165232660000.0,41932726000.0,16.595877
93,169566620000.0,43823610000.0,15.28009
94,166326680000.0,44952200000.0,15.864911
95,166755960000.0,46047965000.0,11.441519
96,168979760000.0,47863206000.0,11.612003
97,171347790000.0,49502736000.0,9.882464
98,171235430000.0,50185937000.0,7.958199
99,170824370000.0,51063185000.0,11.373721
100,170089100000.0,51987190000.0,10.995079
101,170858600000.0,52958274000.0,9.464837
102,177408670000.0,54027276000.0,10.840263
103,183946480000.0,55513985000.0,11.026761
104,190534760000.0,57824130000.0,13.371243
105,191510380000.0,58065240000.0,11.724732
106,193069600000.0,59110290000.0,12.1004505
107,194279930000.0,60192264000.0,11.304548
108,194801650000.0,61158720000.0,11.576018
109,196582870000.0,62342083000.0,10.356563
110,198838810000.0,64122683000.0,11.400529
111,199904280000.0,65217880000.0,9.78024
112,198550850000.0,66060460000.0,11.410763
113,199487080000.0,67882865000.0,11.336307
114,198119340000.0,69588476000.0,9.755521
115,196736730000.0,70117150000.0,9.691277
116,193903480000.0,71249470000.0,8.935635
117,195033220000.0,72186930000.0,9.659089
118,194625420000.0,72776930000.0,9.1124735
119,193649620000.0,73584845000.0,8.641216
120,189439590000.0,74315140000.0,8.697119
121,187098280000.0,74794350000.0,7.282328
122,184294560000.0,75402860000.0,6.2633295
123,181780560000.0,75924660000.0,5.086847
124,182650630000.0,76142210000.0,4.444306
125,187731600000.0,76486664000.0,4.4920073
126,195735010000.0,77238780000.0,5.3345985
127,195543560000.0,78319090000.0,5.127342
