SnapNo,Mgas,Mstar,SFR,Mcold
35,2597261600.0,88750910.0,0.5609105999999999,1084950685.1489294
36,2969131000.0,111986070.0,0.8371236999999999,1223510684.255659
37,2961152800.0,139260000.0,0.9098738,1511448111.1044722
38,3249101800.0,178469230.0,1.0995258,1587273121.0562115
39,3677563000.0,222274430.0,1.0561732,1722954136.5822096
40,4601732000.0,264751740.0,1.079169,1945846674.1852078
41,4318967000.0,309892580.0,1.1687053,2042879646.250557
42,4532362000.0,372638560.0,1.2010933,2230165672.090945
43,5060812000.0,427129380.0,1.1724026,2661128163.865961
44,5444777000.0,486070370.0,1.3549291,1586862953.9382687
45,6469410000.0,568374400.0,1.4530914,3162513499.4219465
46,7060438000.0,657264700.0,1.6295147,3365451467.266111
47,9592693000.0,769132540.0,1.6250155000000002,4540713094.009782
48,12725578000.0,997446340.0,2.9597754000000003,5599042865.691193
49,12657588000.0,1266721200.0,3.2813964,5421768351.178754
50,12887652000.0,1522079000.0,3.228487,5568497906.407366
51,15374189000.0,1756796300.0,2.3523412,5259612462.369164
52,18477230000.0,1910695600.0,1.7902126,6163251893.03084
53,21812589000.0,2120876700.0,2.0413973000000003,8047147374.737738
54,25341958000.0,2423135200.0,3.3577945,11401466111.84102
55,28508097000.0,3188384000.0,6.304374,9359241060.175257
56,27381944000.0,3834920400.0,6.5506525,7368646220.9355
57,28571040000.0,4492706000.0,4.5193400000000015,10438052554.95463
58,30493432000.0,4972810000.0,4.295669599999999,9121082205.892138
59,32066701000.0,5423685000.0,4.7885733,10196609722.45863
60,33878020000.0,5926261000.0,5.131406,9608216792.829279
61,35603886000.0,6426441000.0,5.476693,9331845814.579521
62,36825780000.0,7059344400.0,6.6241179999999975,8043540281.242246
63,36747063000.0,7613533700.0,5.765902,8795007821.199991
64,35752960000.0,8093277700.0,4.6648335,10172400728.110195
65,36075490000.0,8460461600.0,4.6151357000000015,9464460426.454529
66,36860285000.0,8881017000.0,5.0027943,10721977563.517132
67,37843960000.0,9306748000.0,5.7105722000000005,13126138394.128977
68,39823010000.0,9853331000.0,5.511545,14081384265.7926
69,40734120000.0,10338942000.0,6.0008526,12660410414.7704
70,40858130000.0,11151076000.0,6.9356100000000005,14641171368.045324
71,41581540000.0,11812479000.0,7.6751833,11192451023.456793
72,43057970000.0,12454920000.0,6.5406804,12491654434.091406
73,44047900000.0,12934138000.0,6.723227499999999,10737824299.134745
74,47617220000.0,13690097000.0,6.481491,14716952026.682732
75,53740216000.0,14316133000.0,6.0012349999999985,11324464306.345366
76,60068730000.0,14787900000.0,6.424278,20202863163.57476
77,63493833000.0,15474894000.0,7.6026955,23569882884.51157
78,71383690000.0,16294604000.0,7.136473,37269743717.93175
79,80728300000.0,17246730000.0,9.48051,40601662730.18458
80,88641810000.0,18373585000.0,10.793286,44350768473.863235
81,92482090000.0,19236434000.0,7.793246300000002,48676709832.96201
82,100165255000.0,20040990000.0,5.7800937,54505980701.53105
83,104642700000.0,20829176000.0,6.346682,55943940555.679565
84,107107350000.0,21541351000.0,7.4874363,54598266652.274864
85,106069170000.0,22039863000.0,6.977230499999999,63600448597.12903
86,106217690000.0,22625812000.0,6.733981599999999,67236969354.761925
87,110091720000.0,23341822000.0,5.8228383,66520924758.347664
88,116323380000.0,24228060000.0,6.7443037,65749885412.57963
89,129558140000.0,28431135000.0,17.058222,48126079131.08836
90,120665340000.0,29198270000.0,15.393688,56254448179.30415
91,112675810000.0,30974007000.0,11.903078,63120477132.64227
92,114081180000.0,33976377000.0,11.172737,63478126131.44935
93,113924410000.0,35634598000.0,10.713097,58835464883.23802
94,112863380000.0,36903930000.0,10.861136,58544801996.588875
95,112550620000.0,37941985000.0,12.308648,50067461399.77144
96,110265930000.0,39167013000.0,13.6026,48724580198.48236
97,106191390000.0,40727110000.0,13.05518,45677041373.54164
98,105728840000.0,41814050000.0,10.783752,46829606792.95144
99,109120274000.0,43402340000.0,11.506774,48355894215.52604
100,108149285000.0,45503435000.0,15.642054000000002,38931088046.097855
101,106296260000.0,46845660000.0,13.444328,41422206506.77138
102,105400520000.0,47808197000.0,13.0982485,41043687958.48491
103,103922440000.0,49571045000.0,12.489687,41084317724.320885
104,102833136000.0,52115590000.0,18.288864,35100817856.443504
105,100610620000.0,54387323000.0,16.050017999999998,34597272182.67308
106,99033285000.0,56269332000.0,14.526865,26437072317.216385
107,98128800000.0,57485586000.0,12.133512,36118960274.90342
108,97830200000.0,58744380000.0,14.865009,28888999623.4212
109,96332420000.0,60057334000.0,12.141246,31759583967.65118
110,96279830000.0,60810620000.0,11.755533,33696359862.60508
111,97115144000.0,61887627000.0,10.377916,34814014744.72339
112,96741210000.0,62939540000.0,11.650116,34262774790.055286
113,98339450000.0,64168360000.0,13.375554,29926560654.069683
114,99040625000.0,65581244000.0,14.3100815,32085020045.586136
115,99551126000.0,66505660000.0,12.280829,32247116505.835567
116,101273920000.0,67787150000.0,12.669352,28782450818.24073
117,103893850000.0,69048200000.0,12.11621,32409357355.4756
118,105095640000.0,69928985000.0,13.350744,33723804411.89516
119,105330490000.0,71479340000.0,15.573096,30888370080.043507
120,106745580000.0,73003430000.0,14.066285999999998,34724232717.313995
121,107352154000.0,74046080000.0,15.219664000000002,28885731492.824364
122,106891540000.0,75742100000.0,13.513031,30669373634.822964
123,109292680000.0,77074970000.0,12.424091,35931440716.832214
124,111687470000.0,77918530000.0,12.082342,43670296492.92172
125,116411154000.0,79168545000.0,11.68537,55088760933.81265
126,117838720000.0,80039990000.0,12.997957,56688303081.11237
127,119783860000.0,81564120000.0,13.373658,52408083855.13734
