SnapNo,Mgas,Mstar,SFR,Mcold
35,1298066200.0,19452398.0,0.2048386,905145229.317765
36,1821010700.0,35052732.0,0.49919572,996274469.1699436
37,2376158500.0,57797532.0,0.6336694,1064104026.6704699
38,3651543300.0,85825544.0,0.7497720999999999,1657207109.9034786
39,3971812000.0,136553230.0,1.0404639999999998,1919748732.047032
40,3920783400.0,192241470.0,1.2200594,1807900440.0413888
41,4089962200.0,242658800.0,1.0300446,1972415642.6890388
42,6576641500.0,291671600.0,0.93306506,2399072425.2281017
43,2883506000.0,323297800.0,0.90155,2049676952.8973575
44,6151123000.0,383741730.0,0.7707248000000001,2774299951.916784
45,8301994500.0,433983300.0,0.93951184,5426335546.079379
46,10453544000.0,523024830.0,1.3578557,6553803624.219344
47,10949823000.0,662723200.0,2.4780686000000003,6053839951.885679
48,11965873000.0,866893800.0,2.7085595,6104307125.3789215
49,14622920000.0,1082457000.0,2.6965709,6763753281.738416
50,16406253000.0,1304220200.0,2.6983268,7139902171.215242
51,19140250000.0,1571468300.0,2.605073,10746146938.825462
52,22383440000.0,2062049400.0,4.6757097000000005,11060602379.69042
53,23829273000.0,2598468600.0,4.9462986,10458943234.588758
54,23982848000.0,3193275600.0,6.687257000000002,8644726639.132027
55,25608636000.0,3679055400.0,3.9530492,10127849557.727266
56,27952835000.0,4030846500.0,4.079238,10574681896.22662
57,30348732000.0,4476870000.0,5.0182133,9940782537.136332
58,34289150000.0,5044615000.0,5.360307,12974393948.846588
59,36188094000.0,5564246000.0,4.5477085,19438467490.62024
60,44276617000.0,6060920000.0,4.665679,20537052408.102867
61,48805085000.0,6518831600.0,5.184731,25372705924.45813
62,57177977000.0,7140971500.0,7.8484539999999985,27970776424.09805
63,67029190000.0,8390237700.0,9.76527,25883735194.69223
64,71546880000.0,9409711000.0,11.007876,29358416575.624813
65,78395190000.0,10938866000.0,12.641036,26989727992.250786
66,78636490000.0,12878205000.0,15.997611,24377350617.018547
67,78552924000.0,14165201000.0,12.0521965,26052334460.05704
68,79683560000.0,15370208000.0,11.081773,24048290717.54895
69,79242770000.0,16449536000.0,12.981025,23033467494.22645
70,77486490000.0,18159410000.0,14.631732,18865842058.528297
71,76886426000.0,19301904000.0,10.196545,20324895089.627014
72,78995900000.0,20059190000.0,8.380348,22115186186.977814
73,81310910000.0,20912579000.0,10.622341,19623976162.300503
74,79140850000.0,22073164000.0,11.887191,15698400170.623463
75,80316910000.0,22971374000.0,8.123395,23755588770.969227
76,81881450000.0,23635400000.0,9.012863,21991861799.795128
77,82608730000.0,24453870000.0,11.156224,23287362150.814896
78,83374055000.0,25744425000.0,12.885818,25455571347.888847
79,83797590000.0,27158927000.0,14.75213,30714303387.144638
80,84620700000.0,28660548000.0,17.867628,23882308069.677082
81,86275146000.0,30313212000.0,15.8953705,26874279870.240337
82,86404240000.0,31865074000.0,16.915627,21068926575.969204
83,86702820000.0,33378976000.0,15.205565,23741958060.327976
84,86303660000.0,34819207000.0,14.716957,22156400553.761063
85,85352620000.0,35863843000.0,14.155164,21869204773.332386
86,85263640000.0,36961380000.0,11.5046215,23068989045.158627
87,86215640000.0,38067884000.0,12.006011,28933571923.95885
88,87063150000.0,38962975000.0,13.086955,29196038379.979095
89,85959280000.0,40725266000.0,18.63636,28777016846.78499
90,85616290000.0,42108187000.0,17.897568,26528875796.094074
91,83882700000.0,43957207000.0,17.321928,26692180196.855057
92,82017600000.0,45366927000.0,16.020678,24640473868.681374
93,79212330000.0,46907100000.0,14.021331,20338636733.58055
94,75905060000.0,48069095000.0,15.09779,16211565347.33061
95,73564180000.0,49098576000.0,11.764426,18003224622.19959
96,71779180000.0,49925747000.0,11.45032,12141251317.507406
97,67192050000.0,51180663000.0,10.827083,12224752406.425982
98,64882668000.0,51943670000.0,9.4256,12431682652.87774
99,62834910000.0,52523020000.0,7.344038999999999,12047460723.662834
100,61500350000.0,52904837000.0,6.094424,13581279285.549236
101,60263810000.0,53323997000.0,6.3635178,12328177470.400202
102,58895774000.0,53750792000.0,6.764772,13774901936.642351
103,57955250000.0,54187280000.0,6.029807,12742348752.662735
104,57776194000.0,54571414000.0,5.7452044,16955242903.581219
105,57502420000.0,55004320000.0,5.7165475,16149602929.457603
106,57615016000.0,55397790000.0,5.2599893,15000247532.71917
107,57826460000.0,55718617000.0,4.5847397,18755921232.823605
108,57844810000.0,55988974000.0,4.083954,23937325710.0318
109,58011533000.0,56242580000.0,3.873831,29415688099.14976
110,58015340000.0,56397060000.0,3.7831433,29937178556.816967
111,58293137000.0,56656520000.0,4.097982,31021514706.632763
112,58029945000.0,56970340000.0,4.053372,29886054147.46959
113,57595580000.0,57265070000.0,4.010815,30083071710.087875
114,56825213000.0,57532047000.0,3.5851230000000003,30292460978.29528
115,56622264000.0,57694757000.0,3.3623362,28918902314.04382
116,57008583000.0,57905377000.0,3.26405,27955110175.21868
117,57908077000.0,58131470000.0,3.0704749,29566594381.62822
118,58248200000.0,58244610000.0,2.7369626,30589941861.5344
119,58432225000.0,58417670000.0,2.8238107999999995,29581607356.55746
120,58399020000.0,58586747000.0,2.55345,31671041575.98543
121,57987363000.0,58684610000.0,2.4197996,32706514243.008987
122,57114860000.0,58863006000.0,2.5722005,31669661072.543663
123,56851120000.0,59036280000.0,2.410517,31774487770.11437
124,57317368000.0,59147022000.0,2.3068233,31006484123.24125
125,57895040000.0,59287708000.0,2.1594677000000004,30828216051.24537
126,58047594000.0,59376357000.0,1.9577845,31326144625.552467
127,57692692000.0,59508146000.0,2.060773,31167988939.158493
