SnapNo,Mgas,Mstar,SFR
50,13088428000.0,1407281300.0,2.164894
51,15616389000.0,1562479000.0,1.9808187
52,20782287000.0,1777611500.0,2.576132
53,21859338000.0,2266595600.0,4.082878
54,24502346000.0,2678252300.0,3.9824536
55,28793756000.0,3036582100.0,2.9963202
56,34024854000.0,3314685400.0,2.4407475
57,50968240000.0,5441748000.0,13.037098
58,46903603000.0,5767382500.0,8.528341
59,53665930000.0,7914243600.0,11.054024
60,54064950000.0,8764538000.0,7.8643446
61,53162760000.0,9457809000.0,7.1621103
62,51682040000.0,10000453000.0,6.0547338
63,52470903000.0,10461975000.0,5.9125643
64,54094262000.0,11016885000.0,6.130019
65,58039990000.0,11456572000.0,5.9088235
66,62531970000.0,12128549000.0,8.291179
67,65778040000.0,12883667000.0,10.429918
68,73075940000.0,14076231000.0,10.443496
69,80428990000.0,14920409000.0,7.337861
70,94457940000.0,15868731000.0,8.917121
71,106375590000.0,16857350000.0,10.819718
72,112358810000.0,18152114000.0,13.806968
73,118122550000.0,19102968000.0,12.302543
74,131300000000.0,20375994000.0,9.594658
75,133977010000.0,21330244000.0,11.9531
76,140172660000.0,22303603000.0,10.542606
77,141553220000.0,23160537000.0,10.633706
78,143540500000.0,24110623000.0,8.233521
79,148043550000.0,24842777000.0,8.138445
80,151519500000.0,25613332000.0,9.557193
81,160659550000.0,26718183000.0,10.000967
82,158589780000.0,27646167000.0,13.92583
83,158734730000.0,29098440000.0,15.4622755
84,169034040000.0,31065045000.0,15.99241
85,171053270000.0,33224362000.0,21.333794
86,169634640000.0,34395740000.0,13.120483
87,169527260000.0,35488055000.0,10.10427
88,168831980000.0,36290093000.0,9.002609
89,162937770000.0,37269700000.0,9.883818
90,164351590000.0,38223483000.0,10.117108
91,165661620000.0,40014602000.0,11.655704
92,165296300000.0,41132085000.0,10.69065
93,169532470000.0,42423357000.0,9.115124
94,168202030000.0,42853730000.0,7.987205
95,170933750000.0,44509258000.0,8.5223875
96,176204500000.0,47643620000.0,8.472572
97,176092600000.0,50452517000.0,8.677868
98,178342800000.0,53609610000.0,9.612107
99,177860100000.0,54379890000.0,9.8846245
100,179403010000.0,55391850000.0,11.160877
101,179410810000.0,56330040000.0,10.425876
102,179126600000.0,57176445000.0,10.235946
103,179371250000.0,58066514000.0,9.575044
104,177822940000.0,58905043000.0,9.12251
105,177440770000.0,59716764000.0,9.576535
106,173338080000.0,60225528000.0,7.386692
107,172222760000.0,60825560000.0,6.509017
108,171987160000.0,61473575000.0,6.518597
109,176231840000.0,62713330000.0,6.716084
110,176243430000.0,62947110000.0,7.6424813
111,173446580000.0,63550325000.0,7.0216975
112,171699500000.0,64155415000.0,6.8158174
113,176794030000.0,65222330000.0,6.873247
114,177474170000.0,65748218000.0,6.327764
115,177674600000.0,66055885000.0,6.3258667
116,177944200000.0,66948944000.0,7.278739
117,177737880000.0,67740560000.0,7.071884
118,182101690000.0,68344156000.0,6.192538
119,183749640000.0,69367020000.0,7.122645
120,177960730000.0,69916344000.0,8.00668
121,170820530000.0,70411840000.0,9.315292
122,169428830000.0,71367540000.0,9.075723
123,169317940000.0,72647434000.0,9.03392
124,160292950000.0,72899730000.0,8.580586
125,162652030000.0,74187784000.0,9.697518
126,158886280000.0,75019740000.0,11.464759
127,155676740000.0,77163530000.0,11.207979
