SnapNo,Mgas,Mstar,SFR
50,13749631000.0,913024300.0,1.3077002
51,15548292000.0,998061400.0,1.2441671
52,17118523000.0,1099184000.0,1.0972283
53,19003638000.0,1212431900.0,1.3449723
54,24913467000.0,1941007000.0,5.633483
55,23429670000.0,2419178800.0,4.6939716
56,23096875000.0,2849214700.0,4.548275
57,23192930000.0,3258360600.0,2.5793023
58,25240190000.0,3388213000.0,1.6582525
59,27210600000.0,3535897300.0,1.6828125
60,30666641000.0,3668631800.0,1.8778718
61,33406484000.0,3869854200.0,3.4039137
62,35454900000.0,4172573200.0,2.5811286
63,36841226000.0,4411624400.0,2.8729584
64,38798676000.0,4736922600.0,3.6039581
65,41258865000.0,5032140300.0,3.6385767
66,43037760000.0,5382147000.0,3.6759984
67,43026150000.0,5719385600.0,3.3278558
68,43934593000.0,6033363000.0,3.433914
69,44961632000.0,6271793000.0,2.9525745
70,45833703000.0,6666672600.0,4.0110836
71,49396120000.0,7073252400.0,5.273385
72,51994493000.0,7545578000.0,4.62057
73,54234650000.0,7918301700.0,4.843504
74,56019590000.0,8500639000.0,5.6213694
75,56633168000.0,9243151000.0,6.002413
76,59015320000.0,9751533000.0,6.473173
77,61320892000.0,10297181000.0,5.4668126
78,64159630000.0,10902783000.0,4.9847493
79,68980195000.0,11368776000.0,6.1275525
80,71372276000.0,11941581000.0,5.9745083
81,72447860000.0,12402123000.0,6.0576677
82,72401090000.0,12933449000.0,5.317658
83,73225830000.0,13410154000.0,4.95912
84,76846320000.0,13850854000.0,6.9205704
85,80716480000.0,14314791000.0,5.809376
86,89741664000.0,14812658000.0,5.7457585
87,93688545000.0,15285073000.0,4.206481
88,98229130000.0,15601181000.0,5.2498064
89,104439415000.0,16296334000.0,7.4097357
90,104721450000.0,16928644000.0,8.151901
91,105655060000.0,17768319000.0,8.088052
92,113255130000.0,18356754000.0,6.370362
93,119592804000.0,18957271000.0,5.089077
94,118465315000.0,19405636000.0,6.306138
95,117275470000.0,19905645000.0,5.8741803
96,130248516000.0,20871117000.0,6.9775567
97,129825190000.0,22132695000.0,11.896694
98,128223080000.0,23340640000.0,12.443196
99,124015840000.0,24423770000.0,9.677798
100,123929410000.0,25063662000.0,5.7470717
101,123955550000.0,25261840000.0,4.0340157
102,123366720000.0,25440864000.0,3.4770947
103,122821920000.0,25796297000.0,3.4931045
104,121131835000.0,26058250000.0,4.3280687
105,121004564000.0,26677823000.0,3.6050646
106,125088360000.0,29820934000.0,6.6329136
107,124567590000.0,31074413000.0,6.834967
108,127009480000.0,32349210000.0,7.645216
109,126881540000.0,36034224000.0,8.619978
110,126084990000.0,36991640000.0,9.943206
111,126020470000.0,39113875000.0,9.677198
112,123807710000.0,40136060000.0,9.538934
113,123339760000.0,41056690000.0,8.722433
114,123708910000.0,42023555000.0,10.585052
115,123746190000.0,42685510000.0,8.541526
116,122106830000.0,43465953000.0,7.8439116
117,120289300000.0,44260995000.0,7.862474
118,119729760000.0,44759384000.0,7.2482343
119,119631225000.0,45474300000.0,5.885226
120,119299410000.0,46109004000.0,6.977795
121,120554100000.0,46600827000.0,6.2023244
122,120697600000.0,47389700000.0,7.356645
123,122782250000.0,48254185000.0,7.3268547
124,123534240000.0,48908804000.0,6.6492677
125,124497895000.0,49771606000.0,8.232917
126,125346810000.0,50392625000.0,7.9702206
127,121959230000.0,51169940000.0,6.5420623
