Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
,0,,,
,1,,,
,2,,,
,3,,,
,4,,,
,5,,,
,6,,,
,7,,,
,8,,,
,9,,,
,10,,,
,11,,,
,12,,,
,13,,,
,14,,,
,15,,,
,16,,,
,17,,,
,18,,,
,19,,,
,20,,,
,21,,,
,22,,,
,23,,,
,24,,,
,25,,,
,26,,,
,27,,,
,28,,,
,29,,,
,30,,,
,31,,,
0.4780873012769339,32,30.310192023633675,942999999.9999999,314.97934980558153
0.51144273747843,33,35.40620384047267,1500192023.633678,327.21379804848544
0.5471208106629557,34,37.82865583456425,1832525849.3353026,339.51415879835633
0.5891997750159086,35,40.29542097488922,2207843426.8833084,353.68873466589827
0.6303016906900535,36,42.36336779911373,2578759231.905465,365.4586992906398
0.6741780982620621,37,44.5642540620384,3002998522.8951254,377.5904657705988
0.7211528104403899,38,47.17872968980797,3570221565.731167,390.79526980270805
0.7766504355647659,39,50.64992614475627,4419423929.098966,405.64494359645994
0.8307696690240871,40,53.574593796159526,5231521418.020679,417.76501836574744
0.888678746448821,41,58.77400295420974,6920709010.339734,432.0001681462412
0.9569792349999162,42,67.94682422451993,10699704579.02511,447.1230570555771
1.0235859033603345,43,72.49630723781388,13005420974.889215,459.8691516231155
1.094853121042702,44,76.49926144756277,15294830132.939438,472.2272167348619
1.1789142813106497,45,83.48596750369276,19908271787.296898,486.37038996648675
1.260877564365467,46,88.7887740029542,23990103397.34121,501.2029149393658
1.3482981877900693,47,92.40768094534711,27095568685.37666,516.7891573159927
1.4517049514969056,48,95.03692762186115,29533234859.675034,532.0268356237584
1.5524152659289694,49,102.46676514032497,37115657311.66913,547.8931911045744
1.6600143869141086,50,127.9615952732644,72451994091.58049,562.5097438887832
1.7870610578518569,51,135.00738552437224,85360413589.36484,579.6425654622844
1.910374663189027,52,138.65583456425406,92784342688.33087,590.0709217146742
2.0566279658005517,53,140.16248153618906,96248744460.85672,605.4453021271637
2.1979545826256524,54,137.1196454948301,90507090103.39734,617.1417192934229
2.3495344837482337,55,138.1831610044313,93102215657.31166,627.6457707615588
2.4942982026932317,56,151.1669128508124,122494534711.96454,634.2130735431259
2.648679024181495,57,158.53766617429835,142115214180.2068,639.5701772970522
2.7919964070004784,58,163.44165435745938,156624815361.8907,646.6246979939312
2.9444522970841254,59,169.08419497784342,174484490398.8183,655.7172059337502
3.103679461620113,60,176.45494830132938,199689807976.3663,681.2876907308373
3.2503461041698882,61,195.46528803545053,273270310192.02362,685.4069394213767
3.4035482502094134,62,208.8626292466765,335843426883.3087,695.765386106272
3.5395210614408477,63,219.02511078286557,389924667651.4032,702.6177273398871
3.706074245251531,64,224.1063515509601,421268833087.1492,712.6639741799636
3.852039404050016,65,228.68537666174296,451231905465.288,720.1140445373097
