Time_Gyr,SnapshotNumber,VirialRadius_ckpc,VirialMass_Msun
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,21.196454948301326,321881831.6100443
0.51144273747843,33,22.59970457902511,389323485.96750367
0.5471208106629557,34,24.889217134416544,512964549.4830133
0.5891997750159086,35,27.385524372230424,694127031.0192024
0.6303016906900535,36,28.685376661742986,794867060.5612998
0.6741780982620621,37,30.177252584933527,934131462.3338256
0.7211528104403899,38,32.20088626292467,1135618906.9423928
0.7766504355647659,39,34.75627769571639,1418834564.254062
0.8307696690240871,40,37.32644017725258,1767459379.6159527
0.888678746448821,41,41.71344165435745,2469290989.660266
0.9569792349999162,42,44.815361890694234,3072082717.8729687
1.0235859033603345,43,46.89807976366322,3523013293.9438696
1.094853121042702,44,48.3751846381093,3869615952.7326436
1.1789142813106497,45,49.40915805022156,4120132939.4386997
1.260877564365467,46,52.39290989660265,4931432791.728212
1.3482981877900693,47,65.6573116691285,9718345642.540619
1.4517049514969056,48,70.8271787296898,12222422451.994091
1.5524152659289694,49,99.4682422451994,33944165435.745937
1.6600143869141086,50,111.21122599704579,47559084194.97784
1.7870610578518569,51,121.19645494830132,61753028064.99261
1.910374663189027,52,125.93796159527326,69522304283.60413
2.0566279658005517,53,133.26440177252584,82736927621.86115
2.1979545826256524,54,135.14032496307237,86643574593.79616
2.3495344837482337,55,137.2378138847858,91196011816.83899
2.4942982026932317,56,141.7725258493353,101051107828.65582
2.648679024181495,57,148.81831610044313,117547858197.93205
2.7919964070004784,58,153.10192023633678,128742540620.38403
2.9444522970841254,59,167.22304283604134,168797636632.20087
3.103679461620113,60,183.0576070901034,222977843426.8833
3.2503461041698882,61,141.81683899556867,235655834564.25406
3.4035482502094134,62,250.2658788774003,577731166912.8508
3.5395210614408477,63,255.50960118168388,619081240768.0945
3.706074245251531,64,259.3943870014771,653265878877.4003
3.852039404050016,65,261.49187592319055,674620384047.2673
4.005330648859183,66,250.33973412112258,596989660265.8788
4.1380238212264,67,255.2437223042836,637601181683.8995
4.302863700119068,68,253.397341211226,629915805022.1565
4.444078540437954,69,255.95273264401771,654856720827.1787
4.618010469172704,70,266.8389955686854,750264401772.5258
4.767519355776625,71,273.7223042836041,817918759231.9054
4.921821313360232,72,280.9453471196455,893559822747.415
5.048501545881991,73,287.2378138847858,963487444608.5671
5.210902319443069,74,305.2437223042836,1169641063515.5095
5.378187481427072,75,310.9158050221566,1251228951255.539
5.516742183317032,76,312.58493353028064,1284615952732.644
5.657151746908872,77,314.135893648449,1317906942392.91
5.835657267816712,78,315.53914327917283,1354485967503.6926
5.984925889355137,79,316.1004431314623,1377955686853.7666
6.1314743443417274,80,317.0605612998523,1407726735598.2273
6.288280009550495,81,319.02511078286557,1452581979320.5317
6.441930961431011,82,330.4135893648449,1635480059084.1948
6.60150134785066,83,331.89069423929095,1680620384047.2673
6.767286363666197,84,334.0620384047267,1738877400295.421
6.891938257577819,85,334.6824224519941,1768375184638.1091
7.058261067482293,86,334.519940915805,1793308714918.759
7.230838364822614,87,333.47119645494826,1805169867060.5613
7.363097920077097,88,334.6085672082718,1846691285081.2407
7.541245459552444,89,333.48596750369273,1859719350073.8552
7.6760992541526205,90,331.69867060561296,1854697193500.7385
7.859537305692069,91,328.02067946824224,1826617429837.5183
7.996553509894531,92,325.7163958641063,1814032496307.2378
8.184930564043999,93,322.55539143279174,1796233382570.1624
8.33063774295648,94,320.81240768094534,1794254062038.4045
8.473061122257839,95,319.6602658788774,1802481536189.0693
8.619165545014738,96,318.301329394387,1807991137370.7532
8.822454757224136,97,315.8197932053176,1804652880354.5051
8.977680498782219,98,317.3855243722304,1862688330871.4917
9.128933347146274,99,320.7237813884785,1955066469719.3499
9.28399281865738,100,320.0443131462333,1977267355982.2747
9.442976215473088,101,319.2762186115214,1998478581979.3203
9.597321544370372,102,318.56720827178725,2021920236336.7798
9.755404100736131,103,317.370753323486,2036898079763.663
9.91733399954639,104,316.2038404726735,2053574593796.1594
10.083224987834548,105,315.1403249630724,2073087149187.5923
10.253194588767297,106,313.9143279172821,2090236336779.9111
10.417575859721632,107,312.4815361890694,2104298375184.638
10.585809115748921,108,309.82274741506643,2094032496307.2378
10.758003408639935,109,306.97193500738547,2080457902511.0781
10.87158675338913,110,305.3028064992614,2076499261447.5627
11.050552250154956,111,303.2348596750369,2079483013293.9438
11.222886201331546,112,300.6794682422452,2073072378138.8477
11.399102192939777,113,297.3707533234859,2051373707533.2346
11.579305643595353,114,293.9586410635155,2027976366322.0088
11.69400588091851,115,292.55539143279174,2030354505169.867
11.880922573432047,116,291.40324963072374,2054741506646.9717
12.060042487650401,117,289.89660265878877,2072451994091.5803
12.181593952274879,118,288.5967503692762,2078286558345.6423
12.367202557614286,119,285.7902511078286,2069128508124.0767
12.55684042003699,120,283.51550960118163,2071536189069.4238
12.672601171018869,121,281.7872968980798,2068936484490.3987
12.868907973792403,122,279.46824224519935,2071107828655.8345
13.056016187829684,123,279.05465288035447,2116351550960.118
13.178327328662581,124,277.81388478581977,2125509601181.6838
13.371812419226801,125,275.83456425406206,2137223042836.0413
13.498307651451077,126,274.46085672082717,2143589364844.9038
13.698436884332015,127,272.45199409158045,2155361890694.2393
