Redshift,Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
,,0,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,6,,,
,,7,,,
,,8,,,
,,9,,,
,,10,,,
,,11,,,
,,12,,,
,,13,,,
,,14,,,
,,15,,,
,,16,,,
,,17,,,
,,18,,,
,,19,,,
,,20,,,
,,21,,,
,,22,,,
,,23,,,
,,24,,,
,,25,,,
,,26,,,
,,27,,,
,,28,,,
,,29,,,
,,30,,,
,,31,,,
9.843,0.4780873012769339,32,25.273264401772522,547813884.7858198,252.49822196266572
9.366,0.51144273747843,33,27.725258493353024,723013293.94387,263.74948487216795
8.91,0.5471208106629557,34,29.084194977843428,835607090.1033973,275.7490376791437
8.432,0.5891997750159086,35,33.60413589364845,1289686853.7666173,288.4366414115773
8.017,0.6303016906900535,36,42.39290989660265,2590000000.0,299.3709251176826
7.621,0.6741780982620621,37,45.18463810930576,3137178729.689808,313.6250787607906
7.242,0.7211528104403899,38,47.296898079763665,3598641063.515509,326.5342475916718
6.844,0.7766504355647659,39,48.92171344165435,3985790251.1078286,340.6219509595626
6.499,0.8307696690240871,40,47.25258493353027,3981270310.1920233,356.2859025786236
6.169,0.888678746448821,41,63.63367799113736,8785937961.595272,369.4703270542177
5.823,0.9569792349999162,42,75.59822747415066,14741536189.069424,386.6234782359131
5.523,1.0235859033603345,43,81.19645494830132,18280354505.169865,399.2692469405764
5.236,1.094853121042702,44,94.54948301329395,28903545051.69867,413.97111357993583
4.935,1.1789142813106497,45,101.83161004431314,36156277695.71639,429.2554278393043
4.674,1.260877564365467,46,105.1698670605613,39886410635.15509,447.42810193049485
4.425,1.3482981877900693,47,115.93796159527325,53519793205.31757,464.47450294670375
4.163,1.4517049514969056,48,120.7533234859675,60591285081.24076,480.13066317920436
3.936,1.5524152659289694,49,124.26883308714918,66198227474.15066,497.6397298003771
3.719,1.6600143869141086,50,127.97636632200886,72493057607.0901,510.46745050795414
3.491,1.7870610578518569,51,137.0901033973412,89389364844.90398,539.5617026859444
3.294,1.910374663189027,52,158.38995568685377,138302658788.774,563.0601763311422
3.086,2.0566279658005517,53,166.24815361890694,160608567208.2718,594.730246181151
2.907,2.1979545826256524,54,177.85819793205314,197530280649.92612,624.398587557327
2.735,2.3495344837482337,55,184.4903988183161,221568685376.6617,651.9534040187647
2.587,2.4942982026932317,56,190.1033973412112,243657311669.12848,672.8809925695889
2.444,2.648679024181495,57,229.95568685376662,433734121122.5997,712.9059737021258
2.323,2.7919964070004784,58,231.47710487444607,444915805022.15656,717.7720473500747
2.205,2.9444522970841254,59,242.1861152141802,512725258493.35297,735.6972830831146
2.092,3.103679461620113,60,257.7400295420975,622370753323.486,754.8808869107395
1.996,3.2503461041698882,61,264.7858197932053,679290989660.2659,772.2699183459686
