Time_Gyr,Delta1200_Au1,Delta1200_Au2,Delta1200_Au3,Delta1200_Au4,Delta1200_Au5,Delta1200_Au6,Delta1200_Au7,Delta1200_Au8,Delta1200_Au9,Delta1200_Au10,Delta1200_Au11,Delta1200_Au12,Delta1200_Au13,Delta1200_Au14,Delta1200_Au15,Delta1200_Au16,Delta1200_Au17,Delta1200_Au18,Delta1200_Au19,Delta1200_Au20,Delta1200_Au21,Delta1200_Au22,Delta1200_Au23,Delta1200_Au24,Delta1200_Au25,Delta1200_Au26,Delta1200_Au27,Delta1200_Au28,Delta1200_Au29,Delta1200_Au30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.149456,0.000277,0.00027,0.000349,0.000302,0.000282,0.000261,0.000248,0.000267,0.000247,0.000318,0.000305,0.000308,0.000283,0.000318,0.00028,0.000287,0.000331,0.0003,0.000274,0.000272,0.000265,0.000311,0.000295,0.000291,0.000303,0.000218,0.000303,0.000265,0.000329,0.000295
0.159328,0.000328,0.000354,0.000403,0.000346,0.000322,0.000297,0.000282,0.000317,0.000342,0.000366,0.000297,0.000354,0.000326,0.000362,0.000321,0.000328,0.000382,0.000344,0.000314,0.000312,0.000327,0.000358,0.000361,0.000333,0.000349,0.000247,0.000341,0.000303,0.000379,0.000339
0.171063,0.000382,0.000413,0.000473,0.000403,0.000374,0.000419,0.000326,0.000412,0.000398,0.000427,0.000398,0.000375,0.000386,0.000427,0.000372,0.000382,0.000448,0.0004,0.000364,0.000362,0.000403,0.000405,0.000422,0.000374,0.000407,0.000283,0.000406,0.000351,0.000444,0.000395
0.183663,0.000444,0.000483,0.000555,0.00047,0.000434,0.000462,0.00045,0.000429,0.00046,0.000436,0.000465,0.000437,0.000439,0.000499,0.000433,0.000485,0.000586,0.000441,0.000424,0.00042,0.00047,0.000473,0.000496,0.000433,0.000475,0.000478,0.000474,0.000407,0.00052,0.00046
0.19719,0.000517,0.000564,0.000652,0.000549,0.000504,0.000533,0.000524,0.000562,0.000537,0.000509,0.000542,0.000509,0.000511,0.000585,0.000503,0.000432,0.000669,0.000514,0.000491,0.000487,0.000549,0.000572,0.00058,0.000504,0.000554,0.000537,0.000554,0.000472,0.000611,0.000535
