SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,0.588579847511807,1.7661170268200483
36,0.6296157675006637,1.807065670485354
37,0.6735067612001536,1.8469705046137808
38,0.7204501377792731,1.8889462086257078
39,0.7758651800373145,1.9393382690810133
40,0.8299211591567458,1.9843502663029107
41,0.8877297039012763,2.0332217236053256
42,0.9559611038451133,2.090531646282261
43,1.0225083933455177,2.1465358020866816
44,1.0936628506455037,2.2088282738815668
45,1.1776285666554693,2.283295843736265
46,1.259501882076255,2.3573391007710924
47,1.347020121131645,2.441394353774547
48,1.4502627846921008,2.560327450603657
49,1.550895775549458,2.6715318010801146
50,1.658424075455636,2.7817294135607984
51,1.7852109411306938,2.9016721515786603
52,1.9087251005943775,3.0074770097610113
53,2.0542946412802117,3.139039219367194
54,2.1960331217841973,3.3128783950874108
55,2.3473074604764466,3.5575065718365946
56,2.492093805618768,3.6882476244750615
57,2.645527836580647,3.9361374268738194
58,2.789547102003453,4.135263413432886
59,2.9410991694788162,4.268308261360708
60,3.1005271216365293,4.430598088769153
61,3.24676259845616,4.626755225524355
62,3.399534921540906,4.808642052179738
63,3.5358684189171163,4.928978507829931
64,3.701422795540636,5.076755050218549
65,3.8490727526664066,5.207084296099203
66,4.002189339946645,5.377548174998627
67,4.134073017989484,5.612971666749624
68,4.297609020790753,5.807005452825184
69,4.438387551251412,5.936217639376899
70,4.612848329419118,6.097079095840144
71,4.762936382575863,6.259730259113086
72,4.917388364118559,6.44380207346826
73,5.04414557229201,6.5824572301649
74,5.206651492909871,6.8074395000315935
75,5.373737289661653,7.057675975646766
76,5.510751380834336,7.235187913806761
77,5.65077692188168,7.443298166020218
78,5.830093858735267,7.936968712780447
79,5.9770131818759085,8.235036409321745
80,6.127044501216197,8.457228934059065
81,6.280214482862782,8.734774182761036
82,6.436547553740773,8.940759744359637
83,6.596065774621037,9.112317903689249
84,6.758788717127001,9.270549067314372
85,6.882944328993475,9.395934845521015
86,7.051314723485368,9.557672172973483
87,7.222929885887396,9.730179899729453
88,7.353776306456494,9.86216083909209
89,7.531090252205096,9.968921517731829
90,7.666216917034915,10.059686942997715
91,7.849241734747805,10.202162255008394
92,7.988651455432529,10.30540426375874
93,8.177382403083039,10.432433695836036
94,8.321065170061159,10.55652598990968
95,8.46657293854438,10.725360507580804
96,8.613900426061454,10.914976527233913
97,8.813156671342265,11.21940266304223
98,8.96470378407691,11.439607617202261
99,9.118045505078774,11.645808461726313
100,9.27317206867788,11.899038352624395
101,9.43007269490069,12.10457369598886
102,9.58873560276994,12.3934387174348
103,9.749148026266017,12.751700770538001
104,9.911296232903506,13.258408886995054
105,10.075165544860939,13.7708090482694
106,10.240740362585964,14.454427918617451
107,10.408004190783336,15.554250320879639
108,10.576939666678843,16.964582164851848
109,10.747528590438506,17.680718583134404
110,10.862163768931895,18.051591213244116
111,11.035465825156916,18.513590157839147
112,11.210368956667406,18.886506635805414
113,11.386852185757396,19.216948953857692
114,11.564893863921924,19.51626368344432
115,11.684443143597386,19.71163517151515
116,11.865032433823059,19.974378602479785
117,12.047119470537792,20.21640663493331
118,12.169331196658252,20.408481882361382
119,12.353861440878127,20.72011508307644
120,12.539825033771278,20.961026502846096
121,12.664584768785309,21.128654185528504
122,12.852881684242274,21.391535183175783
123,13.042544673427637,21.65491642330544
124,13.169732865216234,21.786698158965272
125,13.361615184557813,21.99917079361207
126,13.49025876910861,22.12026877911266
127,13.684287694692006,22.295300050534163
