SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,0.588579847511807,1793.6840424920172
36,0.6296157675006637,1622.2674731834636
37,0.6735067612001536,1468.6583960088426
38,0.7204501377792731,1332.3415597075118
39,0.7758651800373145,1200.9503198907628
40,0.8299211591567458,1094.6055993058428
41,0.8877297039012763,994.7720529702507
42,0.9559611038451133,897.1849646302801
43,1.0225083933455177,822.6138211950199
44,1.0936628506455037,755.2512786095297
45,1.1776285666554693,681.0537844768796
46,1.259501882076255,623.098024803534
47,1.347020121131645,566.5893885415954
48,1.4502627846921008,507.9373183388882
49,1.550895775549458,464.5428192394479
50,1.658424075455636,433.6080337655582
51,1.7852109411306938,391.67852802067557
52,1.9087251005943775,364.8728598362069
53,2.0542946412802117,339.6563499047509
54,2.1960331217841973,321.5806490414203
55,2.3473074604764466,298.9771375008836
56,2.492093805618768,280.6097481760306
57,2.645527836580647,268.7093977191167
58,2.789547102003453,253.64601115025442
59,2.9410991694788162,238.92860178698564
60,3.1005271216365293,223.94939887477335
61,3.24676259845616,210.63633011659502
62,3.399534921540906,200.984204443938
63,3.5358684189171163,192.23802517783068
64,3.701422795540636,180.8348768136394
65,3.8490727526664066,171.3104204532721
66,4.002189339946645,164.04784429518517
67,4.134073017989484,155.861720458243
68,4.297609020790753,146.21429102569456
69,4.438387551251412,139.16304213899247
70,4.612848329419118,131.82228652617997
71,4.762936382575863,125.28064900893735
72,4.917388364118559,118.84231286396071
73,5.04414557229201,114.12986519561456
74,5.206651492909871,108.38370524600846
75,5.373737289661653,102.9500081369015
76,5.510751380834336,98.42549787601173
77,5.65077692188168,94.20666117323353
78,5.830093858735267,89.08554737837979
79,5.9770131818759085,85.1112191789188
80,6.127044501216197,81.21753601425229
81,6.280214482862782,77.48575174921638
82,6.436547553740773,73.85393827976526
83,6.596065774621037,70.42850689938327
84,6.758788717127001,67.26815830505981
85,6.882944328993475,64.90445797282683
86,7.051314723485368,61.854675678388105
87,7.222929885887396,58.96231907291622
88,7.353776306456494,56.87285738854746
89,7.531090252205096,54.2204147780684
90,7.666216917034915,52.32354109767017
91,7.849241734747805,49.898561252809124
92,7.988651455432529,48.13098613408658
93,8.177382403083039,45.906543489353965
94,8.321065170061159,44.337184823083504
95,8.46657293854438,42.82668044284602
96,8.613900426061454,41.392224239353475
97,8.813156671342265,39.725525526524386
98,8.96470378407691,38.498040744173444
99,9.118045505078774,37.327816610124465
100,9.27317206867788,36.51577012202876
101,9.43007269490069,35.66918084158539
102,9.58873560276994,34.911056348842706
103,9.749148026266017,34.32204165410118
104,9.911296232903506,33.931496165999555
105,10.075165544860939,33.750003084778896
106,10.240740362585964,34.317294582367786
107,10.408004190783336,36.32536679518448
108,10.576939666678843,37.72959986872434
109,10.747528590438506,37.69580865210723
110,10.862163768931895,37.40207862059488
111,11.035465825156916,36.775204446060975
112,11.210368956667406,36.02720671487345
113,11.386852185757396,35.10179255783317
114,11.564893863921924,34.136544580872695
115,11.684443143597386,33.47650407697777
116,11.865032433823059,32.4890478042321
117,12.047119470537792,31.511743261530377
118,12.169331196658252,30.851304714355248
119,12.353861440878127,29.858071378799167
120,12.539825033771278,28.892501895749202
121,12.664584768785309,28.25474252300222
122,12.852881684242274,27.33889452317123
123,13.042544673427637,26.458374019622376
124,13.169732865216234,25.968990487542644
125,13.361615184557813,25.11683517709985
126,13.49025876910861,24.52944835866729
127,13.684287694692006,23.661142472020554
