SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,0.588579847511807,1.6726240517512836
36,0.6296157675006637,1.719487504464301
37,0.6735067612001536,1.7753701728087168
38,0.7204501377792731,1.8328250318120178
39,0.7758651800373145,2.6859363280245354
40,0.8299211591567458,2.804827440216732
41,0.8877297039012763,1.8253809100324814
42,0.9559611038451133,1.8569012111790202
43,1.0225083933455177,1.8852064494249006
44,1.0936628506455037,1.9155591086879185
45,1.1776285666554693,3.7276711985367417
46,1.259501882076255,3.927050432852509
47,1.347020121131645,3.8394481479974862
48,1.4502627846921008,4.004087328492786
49,1.550895775549458,4.162365836495707
50,1.658424075455636,4.352677729173403
51,1.7852109411306938,4.590081645180502
52,1.9087251005943775,4.793354284602379
53,2.0542946412802117,4.922563791283655
54,2.1960331217841973,5.15796986387678
55,2.3473074604764466,5.651702940947307
56,2.492093805618768,5.998707304971759
57,2.645527836580647,6.581338384255668
58,2.789547102003453,6.797763381158274
59,2.9410991694788162,6.936319829293664
60,3.1005271216365293,7.061187052569917
61,3.24676259845616,7.157791915527351
62,3.399534921540906,7.262820951216951
63,3.5358684189171163,7.348774669105513
64,3.701422795540636,7.491199063577819
65,3.8490727526664066,7.693901783885846
66,4.002189339946645,7.9447608827335445
67,4.134073017989484,8.10135821867964
68,4.297609020790753,8.35466493253037
69,4.438387551251412,8.516375461278423
70,4.612848329419118,8.631692966237175
71,4.762936382575863,8.72272816512748
72,4.917388364118559,8.819053428268873
73,5.04414557229201,8.907310494801715
74,5.206651492909871,9.02382322197728
75,5.373737289661653,9.109516545787962
76,5.510751380834336,9.174833921343447
77,5.65077692188168,9.235745589893458
78,5.830093858735267,9.31295176401661
79,5.9770131818759085,9.37282006967482
80,6.127044501216197,9.431169782082971
81,6.280214482862782,9.493608083494372
82,6.436547553740773,9.567096384025321
83,6.596065774621037,9.632313711084326
84,6.758788717127001,9.697292529674058
85,6.882944328993475,9.761436121976258
86,7.051314723485368,9.878629536243904
87,7.222929885887396,10.057750289958811
88,7.353776306456494,10.287201690431413
89,7.531090252205096,10.465867759461451
90,7.666216917034915,10.637611723141662
91,7.849241734747805,10.862760144975706
92,7.988651455432529,11.017481571612906
93,8.177382403083039,11.230792112417674
94,8.321065170061159,11.41409703718156
95,8.46657293854438,11.5648397495036
96,8.613900426061454,11.717193063960849
97,8.813156671342265,11.950993894159652
98,8.96470378407691,12.161809475583585
99,9.118045505078774,12.379880359582213
100,9.27317206867788,12.681600719534979
101,9.43007269490069,13.015720713122827
102,9.58873560276994,13.352456260261363
103,9.749148026266017,13.787061569205623
104,9.911296232903506,14.267908935904314
105,10.075165544860939,14.850379669606829
106,10.240740362585964,15.69347495004505
107,10.408004190783336,17.285448412527263
108,10.576939666678843,18.475025035608827
109,10.747528590438506,19.365672830447284
110,10.862163768931895,19.818563788702544
111,11.035465825156916,20.391977453603666
112,11.210368956667406,20.825316077119346
113,11.386852185757396,21.24540720775364
114,11.564893863921924,21.538836941851212
115,11.684443143597386,21.725180839695522
116,11.865032433823059,22.09829562807445
117,12.047119470537792,22.343003530969252
118,12.169331196658252,22.47009906651744
119,12.353861440878127,22.63360689504145
120,12.539825033771278,22.791422678748166
121,12.664584768785309,22.87801822560742
122,12.852881684242274,22.954131905880672
123,13.042544673427637,23.080084030040577
124,13.169732865216234,23.162974209369683
125,13.361615184557813,23.31392773816644
126,13.49025876910861,23.395308257146954
127,13.684287694692006,23.511048288345272
