SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,0.588579847511807,1403.5453913558024
36,0.6296157675006637,1260.7628379765438
37,0.6735067612001536,1137.4427430317992
38,0.7204501377792731,1026.0484829757042
39,0.7758651800373145,1296.2520708254679
40,0.8299211591567458,1182.7859242599368
41,0.8877297039012763,672.6044779116339
42,0.9559611038451133,589.8504627904936
43,1.0225083933455177,523.2609096252364
44,1.0936628506455037,464.5807198970164
45,1.1776285666554693,779.3815095774108
46,1.259501882076255,717.43940879754
47,1.347020121131645,612.9059067443344
48,1.4502627846921008,551.0302179747832
49,1.550895775549458,500.51647044839484
50,1.658424075455636,457.3417911593821
51,1.7852109411306938,415.76857455992985
52,1.9087251005943775,379.38226897081483
53,2.0542946412802117,335.8734906797747
54,2.1960331217841973,307.5172097078007
55,2.3473074604764466,294.4260291845232
56,2.492093805618768,276.77073808780347
57,2.645527836580647,268.9319159646879
58,2.789547102003453,249.35562436789056
59,2.9410991694788162,228.40585629721443
60,3.1005271216365293,208.7280622048245
61,3.24676259845616,192.5158844340125
62,3.399534921540906,177.73674103633243
63,3.5358684189171163,165.85575899361186
64,3.701422795540636,153.833647552294
65,3.8490727526664066,145.71034552479134
66,4.002189339946645,138.76129062185376
67,4.134073017989484,132.26607341953223
68,4.297609020790753,125.79500942832932
69,4.438387551251412,119.8649752148395
70,4.612848329419118,112.04106642884969
71,4.762936382575863,105.83680315844444
72,4.917388364118559,100.02521042534364
73,5.04414557229201,95.71865587002561
74,5.206651492909871,90.6449688020662
75,5.373737289661653,85.5365203380469
76,5.510751380834336,81.62382858392522
77,5.65077692188168,77.8490310047829
78,5.830093858735267,73.37898979559112
79,5.9770131818759085,69.9708508417036
80,6.127044501216197,66.70754198023887
81,6.280214482862782,63.62139304775031
82,6.436547553740773,60.74555779240951
83,6.596065774621037,57.94653789890003
84,6.758788717127001,55.27259716103296
85,6.882944328993475,53.43120475123879
86,7.051314723485368,51.23189840641461
87,7.222929885887396,49.42049589890631
88,7.353776306456494,48.54286219036566
89,7.531090252205096,46.79138151802501
90,7.666216917034915,45.672694544212476
91,7.849241734747805,44.18910344304122
92,7.988651455432529,43.04068828773985
93,8.177382403083039,41.56901782580811
94,8.321065170061159,40.57166308778531
95,8.46657293854438,39.476872979314706
96,8.613900426061454,38.41037841793087
97,8.813156671342265,37.11859460840802
98,8.96470378407691,36.27501248315115
99,9.118045505078774,35.46073210898105
100,9.27317206867788,34.88407409656874
101,9.43007269490069,34.38295676043538
102,9.58873560276994,33.87334137745662
103,9.749148026266017,33.58848882762333
104,9.911296232903506,33.381123829560615
105,10.075165544860939,33.36568590132856
106,10.240740362585964,33.8612895539005
107,10.408004190783336,35.81680977206505
108,10.576939666678843,36.76318761417809
109,10.747528590438506,37.006890107647514
110,10.862163768931895,36.86408245820551
111,11.035465825156916,36.426082534343735
112,11.210368956667406,35.72453640200921
113,11.386852185757396,34.99950761310777
114,11.564893863921924,34.07540281696845
115,11.684443143597386,33.45518225848662
116,11.865032433823059,32.67989513020924
117,12.047119470537792,31.731112888907507
118,12.169331196658252,31.062040895534377
119,12.353861440878127,30.046967255534817
120,12.539825033771278,29.056291607112527
121,12.664584768785309,28.39019670732231
122,12.852881684242274,27.354749870796855
123,13.042544673427637,26.41381523790163
124,13.169732865216234,25.802947788971622
125,13.361615184557813,24.940911483456922
126,13.49025876910861,24.361661071859295
127,13.684287694692006,23.511048288345304
