# ConfigFile: 01
# Timestamp: 2026-03-26 10:10:31.839747-03:00
SnapshotNumber,Time_Gyr,MeanDelay_Gyr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.6600143869141086,1.485741151170135
51,1.7870610578518569,1.9366274353253519
52,1.910374663189027,1.9958378345193897
53,2.0566279658005517,1.9504524872003082
54,2.1979545826256524,2.1341086243722605
55,2.3495344837482337,1.9911011345803171
56,2.4942982026932317,1.7493657224312997
57,2.648679024181495,1.721452619765528
58,2.7919964070004784,2.2396955279765485
59,2.9444522970841254,1.883308192386684
60,3.103679461620113,1.973405985672959
61,3.2503461041698882,2.2920667637025747
62,3.4035482502094134,2.153917069984649
63,3.5395210614408477,3.260544422116432
64,3.706074245251531,3.3405768479012488
65,3.852039404050016,2.9039513231193474
66,4.005330648859183,2.6393598633526656
67,4.1380238212264,2.321453666781359
68,4.302863700119068,2.5823539559344137
69,4.444078540437954,3.058619079989778
70,4.618010469172704,3.874040203340992
71,4.767519355776625,3.6047159329490195
72,4.921821313360232,3.4795318375406366
73,5.048501545881991,3.2551956386940906
74,5.210902319443069,3.2659752537503013
75,5.378187481427072,3.227710941851714
76,5.516742183317032,3.7374959515836013
77,5.657151746908872,3.5732237844664625
78,5.835657267816712,3.3890493235821584
79,5.984925889355137,3.321727102200367
80,6.1314743443417274,3.386066742671781
81,6.288280009550495,3.3395049608264884
82,6.441930961431011,3.348390017112018
83,6.60150134785066,3.293714103305822
84,6.767286363666197,3.200550526841644
85,6.891938257577819,3.4170511681230047
86,7.058261067482293,3.566740820430253
87,7.230838364822614,3.6041947950150073
88,7.363097920077097,3.660482331909992
89,7.541245459552444,3.699937366327029
90,7.6760992541526205,3.7101483689017862
91,7.859537305692069,2.234535724472578
92,7.996553509894531,3.484672792213867
93,8.184930564043999,2.3399896954831667
94,8.33063774295648,2.3446061360360226
95,8.473061122257839,3.2425089502044293
96,8.619165545014738,3.534304190201179
97,8.822454757224136,3.6181676177135778
98,8.977680498782219,3.534503736354626
99,9.128933347146274,3.3565270435133128
100,9.28399281865738,3.1989679633368735
101,9.442976215473088,3.084670589369239
102,9.597321544370372,3.0899470021323636
103,9.755404100736131,2.966270373636736
104,9.91733399954639,2.814848613664886
105,10.083224987834548,2.5613852819681138
106,10.253194588767297,2.5143765503187487
107,10.417575859721632,2.4071332080003427
108,10.585809115748921,2.3399011317634884
109,10.758003408639935,2.119048058372108
110,10.87158675338913,2.1019123364668038
111,11.050552250154956,1.9965004975871097
112,11.222886201331546,1.873887494620177
113,11.399102192939777,1.8127278880631572
114,11.579305643595353,1.8450137707216316
115,11.69400588091851,1.7775543107675043
116,11.880922573432047,1.6787851793866935
117,12.060042487650401,1.4094725386494975
118,12.181593952274879,1.4608690008433955
119,12.367202557614286,1.2402664935900296
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
