SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,0.588579847511807,1.699601637516046
36,0.6296157675006637,1.7448867582004173
37,0.6735067612001536,1.7909470314099292
38,0.7204501377792731,1.8434156564734225
39,0.7758651800373145,1.9006838178359806
40,0.8299211591567458,1.9535947331835528
41,0.8877297039012763,2.015832267634392
42,0.9559611038451133,2.089568679503694
43,1.0225083933455177,2.1615759049707597
44,1.0936628506455037,2.241637481049093
45,1.1776285666554693,2.33969840694629
46,1.259501882076255,2.4151512758332303
47,1.347020121131645,2.4871419754325754
48,1.4502627846921008,2.573442513220748
49,1.550895775549458,2.657816447484177
50,1.658424075455636,2.756225533216204
51,1.7852109411306938,2.909177352072004
52,1.9087251005943775,3.054595608472292
53,2.0542946412802117,3.238045469562552
54,2.1960331217841973,3.382626266449939
55,2.3473074604764466,3.519553800002104
56,2.492093805618768,3.723271967884843
57,2.645527836580647,4.0662205713189525
58,2.789547102003453,4.348863380245311
59,2.9410991694788162,4.501816092391261
60,3.1005271216365293,4.624747555918761
61,3.24676259845616,4.7232064425764895
62,3.399534921540906,4.847882055116191
63,3.5358684189171163,4.9532902924732305
64,3.701422795540636,5.064169931981222
65,3.8490727526664066,5.1390303261781005
66,4.002189339946645,5.233577941926778
67,4.134073017989484,5.3796250745906224
68,4.297609020790753,5.678032668032888
69,4.438387551251412,5.8794352045318234
70,4.612848329419118,6.1031838407053804
71,4.762936382575863,6.225219334215346
72,4.917388364118559,6.333336473943448
73,5.04414557229201,6.414158686582032
74,5.206651492909871,6.5049509105523295
75,5.373737289661653,6.566203815938534
76,5.510751380834336,6.670868835893196
77,5.65077692188168,6.753223934424191
78,5.830093858735267,6.854805316791081
79,5.9770131818759085,7.0059634090315175
80,6.127044501216197,7.11764164993101
81,6.280214482862782,7.529410442909892
82,6.436547553740773,7.622821793591467
83,6.596065774621037,7.7054555986483555
84,6.758788717127001,7.7840410127586175
85,6.882944328993475,7.851537122982862
86,7.051314723485368,7.972999570863468
87,7.222929885887396,8.119334789599746
88,7.353776306456494,8.236606813400337
89,7.531090252205096,8.405551205759556
90,7.666216917034915,8.524388273897856
91,7.849241734747805,8.758849245515352
92,7.988651455432529,8.94558708431453
93,8.177382403083039,9.320342846693666
94,8.321065170061159,9.723749103960525
95,8.46657293854438,10.573410066979894
96,8.613900426061454,10.99100981139393
97,8.813156671342265,11.392398126218515
98,8.96470378407691,11.651389738565351
99,9.118045505078774,11.903205551160587
100,9.27317206867788,12.118202623763063
101,9.43007269490069,12.376766350129447
102,9.58873560276994,12.599883430169006
103,9.749148026266017,12.795019982931157
104,9.911296232903506,13.019379629565318
105,10.075165544860939,13.37079104053046
106,10.240740362585964,13.868689529556876
107,10.408004190783336,14.096460651262795
108,10.576939666678843,14.27523302182034
109,10.747528590438506,14.453588225879185
110,10.862163768931895,14.546815558790456
111,11.035465825156916,14.700609750254968
112,11.210368956667406,14.829699109411461
113,11.386852185757396,14.98009701173673
114,11.564893863921924,15.167041200559874
115,11.684443143597386,15.297727762499369
116,11.865032433823059,15.541933636331517
117,12.047119470537792,15.922596726453376
118,12.169331196658252,16.074130893845748
119,12.353861440878127,16.20546062469115
120,12.539825033771278,16.312449985608538
121,12.664584768785309,16.37155184832055
122,12.852881684242274,16.46259062037144
123,13.042544673427637,16.55117820425871
124,13.169732865216234,16.616663518361843
125,13.361615184557813,16.757194137722315
126,13.49025876910861,16.8622504187614
127,13.684287694692006,17.000939073838552
