SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.658424075455636,3.4792572581441767
51,1.7852109411306938,3.5894215955668787
52,1.9087251005943775,3.6999443656611044
53,2.0542946412802117,3.8163592775655584
54,2.1960331217841973,3.9207277251913824
55,2.3473074604764466,4.066221464609099
56,2.492093805618768,4.205019547729277
57,2.645527836580647,4.325201910829098
58,2.789547102003453,4.437151711933304
59,2.9410991694788162,4.5403758548807005
60,3.1005271216365293,4.6413855315534525
61,3.24676259845616,4.73226842447368
62,3.399534921540906,4.837565000562334
63,3.5358684189171163,4.978675811873335
64,3.701422795540636,5.16094050026094
65,3.8490727526664066,5.2880271029076455
66,4.002189339946645,5.394942767387907
67,4.134073017989484,5.516856326792798
68,4.297609020790753,5.621410578769215
69,4.438387551251412,5.705758160973304
70,4.612848329419118,5.845591567373966
71,4.762936382575863,5.942112461057571
72,4.917388364118559,6.0425843770617735
73,5.04414557229201,6.11596458948492
74,5.206651492909871,6.225836597706989
75,5.373737289661653,6.338254929493345
76,5.510751380834336,6.4365641900514365
77,5.65077692188168,6.506422159424591
78,5.830093858735267,6.605813194350809
79,5.9770131818759085,6.705649981060427
80,6.127044501216197,6.815340651382635
81,6.280214482862782,6.934734685927647
82,6.436547553740773,7.047601002722773
83,6.596065774621037,7.157134900624165
84,6.758788717127001,7.272149580223047
85,6.882944328993475,7.364496129049287
86,7.051314723485368,7.466517456813622
87,7.222929885887396,7.559933273945931
88,7.353776306456494,7.637524456122479
89,7.531090252205096,7.750079907946416
90,7.666216917034915,7.856744111250272
91,7.849241734747805,8.057827296521618
92,7.988651455432529,8.219532465528793
93,8.177382403083039,8.478658071397696
94,8.321065170061159,8.748141376522142
95,8.46657293854438,9.077941418958646
96,8.613900426061454,9.521535906653103
97,8.813156671342265,9.96602279120451
98,8.96470378407691,10.250106923783205
99,9.118045505078774,10.521341077595961
100,9.27317206867788,10.717989970577138
101,9.43007269490069,10.889820583401617
102,9.58873560276994,11.04605970999872
103,9.749148026266017,11.198913266938346
104,9.911296232903506,11.337505446679613
105,10.075165544860939,11.503374241062392
106,10.240740362585964,11.690246966673772
107,10.408004190783336,11.883466518780258
108,10.576939666678843,12.117287894652442
109,10.747528590438506,12.534865306812799
110,10.862163768931895,12.943164114215294
111,11.035465825156916,13.320815923251306
112,11.210368956667406,13.559642403817653
113,11.386852185757396,13.755035330852028
114,11.564893863921924,13.944445893771295
115,11.684443143597386,14.080388574936288
116,11.865032433823059,14.328860802510956
117,12.047119470537792,14.547970582950649
118,12.169331196658252,14.644005526794247
119,12.353861440878127,14.75497270873665
120,12.539825033771278,14.84554250346031
121,12.664584768785309,14.8962295729867
122,12.852881684242274,14.975639493902726
123,13.042544673427637,15.053223529758101
124,13.169732865216234,15.093389427932015
125,13.361615184557813,15.137385754256671
126,13.49025876910861,15.158038622457472
127,13.684287694692006,15.206572862729354
