SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.658424075455636,3.3764551947912818
51,1.7852109411306938,3.4914868469029603
52,1.9087251005943775,3.6132936581352713
53,2.0542946412802117,3.77812467268966
54,2.1960331217841973,3.9695027071579108
55,2.3473074604764466,4.187522673618156
56,2.492093805618768,4.329462904830735
57,2.645527836580647,4.504808167738951
58,2.789547102003453,4.634651910424662
59,2.9410991694788162,4.790279579916082
60,3.1005271216365293,4.944411435056193
61,3.24676259845616,5.1159584282589705
62,3.399534921540906,5.352042954718813
63,3.5358684189171163,5.499862375034486
64,3.701422795540636,5.629801253120866
65,3.8490727526664066,5.74745426516919
66,4.002189339946645,5.880251671726267
67,4.134073017989484,5.987148130468369
68,4.297609020790753,6.102190948706884
69,4.438387551251412,6.203968854906136
70,4.612848329419118,6.310368644326454
71,4.762936382575863,6.405067226109987
72,4.917388364118559,6.480800811425654
73,5.04414557229201,6.554564245321905
74,5.206651492909871,6.660546868243527
75,5.373737289661653,6.797688791430993
76,5.510751380834336,6.918437500484074
77,5.65077692188168,7.0130145948076015
78,5.830093858735267,7.118898062522898
79,5.9770131818759085,7.195809897542579
80,6.127044501216197,7.2877218607122565
81,6.280214482862782,7.390905358957962
82,6.436547553740773,7.502095416792066
83,6.596065774621037,7.625074671342436
84,6.758788717127001,7.770509453610445
85,6.882944328993475,7.901430950858625
86,7.051314723485368,8.017110238326948
87,7.222929885887396,8.134917342925647
88,7.353776306456494,8.226176757642873
89,7.531090252205096,8.347615086689508
90,7.666216917034915,8.425721697280931
91,7.849241734747805,8.540092314683756
92,7.988651455432529,8.646366150193336
93,8.177382403083039,8.829770230163557
94,8.321065170061159,9.023113056310336
95,8.46657293854438,9.269326153103
96,8.613900426061454,9.656380734227318
97,8.813156671342265,10.645228808225927
98,8.96470378407691,11.189903542514756
99,9.118045505078774,11.556630413051815
100,9.27317206867788,11.829162517448294
101,9.43007269490069,12.056303869600514
102,9.58873560276994,12.295247371176126
103,9.749148026266017,12.472833452418334
104,9.911296232903506,12.620773020258785
105,10.075165544860939,12.754331510021192
106,10.240740362585964,12.864677855311362
107,10.408004190783336,12.971204491932562
108,10.576939666678843,13.056223381682194
109,10.747528590438506,13.127301585396282
110,10.862163768931895,13.166568833682216
111,11.035465825156916,13.241520343474104
112,11.210368956667406,13.337608884726517
113,11.386852185757396,13.435003416173991
114,11.564893863921924,13.570386897706895
115,11.684443143597386,13.713104291347445
116,11.865032433823059,13.982143631268794
117,12.047119470537792,14.13564303698476
118,12.169331196658252,14.268495827530964
119,12.353861440878127,14.552698767699225
120,12.539825033771278,14.87777419854774
121,12.664584768785309,15.368317336503
122,12.852881684242274,15.905902920184493
123,13.042544673427637,16.312096242710297
124,13.169732865216234,16.45993754863457
125,13.361615184557813,16.630237955437085
126,13.49025876910861,16.70511532214676
127,13.684287694692006,16.77931736150523
